"","lon","lat"
"1",9.9936818,53.5510846
"2",13.404954,52.5200066
"3",9.4469964,54.7937431
"4",10.1227652,54.3232927
"5",NA,NA
"6",NA,NA
"7",9.1173702,54.1327999
"8",10.6139508,53.570009
"9",8.9336322,54.6760219
"10",10.8504235,54.1642033
"11",9.7938212,53.6545225
"12",NA,NA
"13",NA,NA
"14",9.5348609,54.6298964
"15",10.1528422,53.9613071
"16",10.3990182,53.704053
"17",10.2929854,53.6858937
"18",10.5267696,52.2688736
"19",10.3899126,52.1378659
"20",10.7865461,52.4226503
"21",10.5507829,52.4809091
"22",NA,NA
"23",10.4289963,51.9059531
"24",11.009544,52.228966
"25",9.9959057,51.7001785
"26",10.2580311,51.7293769
"27",10.243267,52.3204095
"28",NA,NA
"29",9.6427814,52.3950048
"30",8.3707878,52.6056456
"31",9.3740065,52.1165032
"32",9.9579652,52.154778
"33",9.4558926,51.8238111
"34",9.2084155,52.6380924
"35",-88.0834059,42.0333607
"36",10.0628515,52.6175963
"37",8.6879057,53.859336
"38",9.9834184,53.4607785
"39",NA,NA
"40",NA,NA
"41",8.8349205,53.2796695
"42",NA,NA
"43",9.8825248,53.0664981
"44",9.4709494,53.5928618
"45",10.5580304,52.9658199
"46",9.2329647,52.9347982
"47",8.6355932,53.0521886
"48",7.2060095,53.3594029
"49",10.8919582,54.2957397
"50",NA,NA
"51",8.1068722,53.5323403
"52",8.0110148,53.2512996
"53",7.4848308,53.4708393
"54",8.0530158,52.844198
"55",7.4631525,52.7253212
"56",5.7817542,53.1641642
"57",7.0223933,52.5375089
"58",7.4679018,53.235657
"59",8.2145521,53.1434501
"60",NA,NA
"61",8.2838761,52.7292252
"62",8.4038814,53.3979286
"63",7.773289,53.5766311
"64",8.8016937,53.0792962
"65",8.5809424,53.5395845
"66",NA,NA
"67",6.7623293,51.4344079
"68",7.0115552,51.4556432
"69",6.5853417,51.3387609
"70",NA,NA
"71",NA,NA
"72",6.8637765,51.4963341
"73",7.1896962,51.1787418
"74",7.0831408,51.1702072
"75",7.1507636,51.2562128
"76",6.12954,51.786726
"77",6.9740265,51.2506663
"78",6.6709074,51.1150275
"79",6.3965235,51.2554987
"80",6.6295679,51.6643079
"81",7.0982068,50.73743
"82",NA,NA
"83",7.0192196,51.0459248
"84",6.0838868,50.7753455
"85",NA,NA
"86",6.7349089,50.9436524
"87",6.7899945,50.6574392
"88",6.1183729,51.0600381
"89",7.5897206,50.974912
"90",7.1712599,51.0014241
"91",7.3151694,50.7413608
"92",6.9446888,51.529086
"93",7.0857172,51.517744
"94",NA,NA
"95",6.8594477,51.8482714
"96",7.1675831,51.9382944
"97",7.1979453,51.6140649
"98",7.3334636,52.1445658
"99",7.9908987,51.9538685
"100",8.5324708,52.0302285
"101",NA,NA
"102",8.6793998,52.1178305
"103",NA,NA
"104",8.9865279,51.9759031
"105",NA,NA
"106",8.7575093,51.7189205
"107",7.2162363,51.4818445
"108",7.4652981,51.5135872
"109",7.4632841,51.3670777
"110",7.8159816,51.6738583
"111",7.2009147,51.5368948
"112",7.3417423,51.3482575
"113",8.3851207,51.2990466
"114",NA,NA
"115",7.8502943,51.0282107
"116",8.2212042,50.9320114
"117",8.105754,51.5711476
"118",7.6853114,51.5426349
"119",8.6511929,49.8728253
"120",8.6821267,50.1109221
"121",8.7760843,50.0956362
"122",8.2397608,50.0782184
"123",NA,NA
"124",8.8444959,49.9010547
"125",NA,NA
"126",8.54839,50.240598
"127",9.304936,50.2652761
"128",8.4276712,50.1043397
"129",8.9904016,49.6285491
"130",8.7760843,50.0956362
"131",8.1104164,50.1891679
"132",8.9120439,50.3794495
"133",NA,NA
"134",8.3585875,50.6709711
"135",8.1815446,50.4333676
"136",8.7250641,50.8114016
"137",9.307901,50.598629
"138",9.4797461,51.3127114
"139",9.6808449,50.5558095
"140",9.7398757,50.8985515
"141",9.4797461,51.3127114
"142",9.4057305,51.0523685
"143",8.8549242,51.2220857
"144",NA,NA
"145",7.5889959,50.3569429
"146",7.11977,50.5418199
"147",7.645556,50.687222
"148",7.8731346,49.8440162
"149",7.1631611,49.6512438
"150",7.1701795,50.1474176
"151",7.3110906,50.3253123
"152",7.4664546,50.4361866
"153",NA,NA
"154",7.8244911,50.2917917
"155",7.8933078,50.5366348
"156",6.6371433,49.749992
"157",7.0041761,49.9308031
"158",NA,NA
"159",6.7810629,50.2745932
"160",6.725129,49.6186654
"161",8.3512342,49.5431853
"162",7.7491265,49.4400657
"163",8.1185622,49.198886
"164",8.44518,49.47741
"165",8.2472526,49.9928617
"166",NA,NA
"167",7.6002161,49.201555
"168",8.4412172,49.3172765
"169",8.3507182,49.6341372
"170",NA,NA
"171",8.0957661,49.7771297
"172",NA,NA
"173",7.9483049,49.6229588
"174",8.3668146,49.2140244
"175",7.7491265,49.4400657
"176",12.0743027,52.2278506
"177",NA,NA
"178",8.3756735,49.4082543
"179",8.0600235,49.9238777
"180",NA,NA
"181",9.1829321,48.7758459
"182",NA,NA
"183",9.3201122,48.7433425
"184",NA,NA
"185",9.195464,48.8940624
"186",9.5300281,48.8900669
"187",9.210879,49.1426929
"188",9.210879,49.1426929
"189",9.6007374,49.2510988
"190",NA,NA
"191",9.7105561,49.5700201
"192",10.1610948,48.6893963
"193",10.1009319,48.8817917
"194",8.2285242,48.76564
"195",8.4036527,49.0068901
"196",8.4036527,49.0068901
"197",8.2059096,48.8591174
"198",8.6724335,49.3987524
"199",8.4660395,49.4874592
"200",9.2454855,49.4440668
"201",8.7871347,49.3162084
"202",8.6946286,48.8921862
"203",8.7472439,48.7122107
"204",8.7883602,48.9899407
"205",8.4179988,48.4644796
"206",7.8421043,47.9990077
"207",7.8432686,47.945383
"208",7.8539047,48.1170918
"209",7.9471358,48.3644892
"210",8.6316219,48.1610687
"211",8.4017661,48.0517272
"212",8.8192095,47.9823316
"213",9.1732384,47.6779496
"214",NA,NA
"215",8.2719155,47.6327253
"216",9.2038043,48.5069389
"217",NA,NA
"218",8.9252312,48.2924445
"219",9.9876076,48.4010822
"220",9.7332485,48.4277129
"221",9.7901525,48.0951473
"222",9.4149697,47.7136785
"223",9.6121303,47.7782704
"224",9.2286121,48.0912921
"225",11.4257541,48.7665351
"226",NA,NA
"227",12.1181047,47.8571272
"228",NA,NA
"229",12.8816327,47.7302961
"230",NA,NA
"231",11.4339022,48.2629984
"232",11.9669667,48.0780006
"233",NA,NA
"234",11.9188758,48.3114648
"235",11.7411846,48.4028796
"236",NA,NA
"237",11.0954984,47.4916945
"238",10.8703515,48.050783
"239",11.8332675,47.7899777
"240",NA,NA
"241",NA,NA
"242",11.1935703,48.6986656
"243",11.4977392,48.5325215
"244",12.1181047,47.8571272
"245",11.3390089,47.9999615
"246",12.6384037,47.8677574
"247",11.0576663,47.8251832
"248",12.1468532,48.5441917
"249",13.4319466,48.5667364
"250",12.5801538,48.8777333
"251",12.9574787,48.8408515
"252",13.582951,48.8056154
"253",11.886563,48.9184118
"254",12.1468532,48.5441917
"255",13.4319466,48.5667364
"256",13.1283598,48.9771815
"257",12.9451449,48.3909949
"258",12.6029872,48.9594904
"259",12.5670747,48.6367249
"260",11.8633445,49.4403198
"261",12.1016236,49.0134297
"262",12.1489337,49.6743636
"263",11.7233784,49.4642643
"264",12.6620845,49.2238643
"265",11.6255452,49.1640822
"266",12.1781271,49.7320956
"267",12.1016236,49.0134297
"268",12.1091352,49.3198883
"269",12.3303441,49.8817161
"270",10.9027636,49.8988135
"271",11.5713346,49.9456399
"272",10.962695,50.2612094
"273",11.9127814,50.3135391
"274",10.9027636,49.8988135
"275",11.5713346,49.9456399
"276",10.962695,50.2612094
"277",11.0698834,49.7213064
"278",11.9127814,50.3135391
"279",11.3310482,50.2359898
"280",11.4448178,50.1039282
"281",11.0630387,50.1432937
"282",11.9932201,49.9983303
"283",10.5719357,49.3004246
"284",11.0119611,49.5896744
"285",NA,NA
"286",NA,NA
"287",11.0247098,49.3284557
"288",10.5719357,49.3004246
"289",NA,NA
"290",NA,NA
"291",NA,NA
"292",10.4656064,49.5860538
"293",11.0911607,49.2456337
"294",NA,NA
"295",9.1355554,49.9806625
"296",10.2194228,50.0492047
"297",NA,NA
"298",9.1355554,49.9806625
"299",10.080392,50.2007337
"300",NA,NA
"301",NA,NA
"302",10.1473777,49.7340805
"303",9.2559213,49.7019294
"304",9.64155,49.9886154
"305",10.2194228,50.0492047
"306",NA,NA
"307",10.89779,48.3705449
"308",10.625966,47.8830175
"309",NA,NA
"310",10.1801883,47.9837999
"311",11.0698233,48.3866143
"312",10.89779,48.3705449
"313",10.4940239,48.5790918
"314",NA,NA
"315",10.0060398,48.3906042
"316",9.6789333,47.5797815
"317",NA,NA
"318",NA,NA
"319",10.7125556,48.8261345
"320",NA,NA
"321",NA,NA
"322",6.6866876,49.4572396
"323",7.186363,49.3518048
"324",6.7522865,49.3134606
"325",7.2193582,49.1804828
"326",7.1690625,49.4677707
"327",12.5316444,52.4125287
"328",14.3328679,51.7563108
"329",14.5505673,52.3472237
"330",13.0644729,52.3905689
"331",13.6998296,52.8574453
"332",13.832727,52.0163129
"333",13.3627716,51.6840663
"334",12.5204131,52.5979018
"335",NA,NA
"336",13.22567,52.9120644
"337",13.9716791,51.569088
"338",14.1541989,52.2805259
"339",12.7526724,52.9645366
"340",12.9084119,52.2523981
"341",12.0455484,53.0392549
"342",NA,NA
"343",NA,NA
"344",13.8685909,53.1879937
"345",12.0991466,54.0924406
"346",11.4012499,53.6355022
"347",12.9106549,53.5609872
"348",12.0991466,54.0924406
"349",NA,NA
"350",11.1486686,53.8281668
"351",13.6810818,53.8545135
"352",11.8478394,53.4250382
"353",12.9213697,50.827845
"354",12.8252454,50.5547583
"355",13.0880514,50.9900976
"356",12.2774996,50.4884351
"357",12.4733725,50.7102169
"358",13.7372621,51.0504088
"359",14.4237749,51.182293
"360",NA,NA
"361",NA,NA
"362",NA,NA
"363",12.3730747,51.3396955
"364",12.3730747,51.3396955
"365",12.7541738,51.5385972
"366",NA,NA
"367",11.9688029,51.4969802
"368",11.6276237,52.1205333
"369",11.202885,52.7747049
"370",12.0355724,51.7866203
"371",NA,NA
"372",11.8641865,51.1224831
"373",10.2383609,51.8095249
"374",11.9127117,52.1858859
"375",NA,NA
"376",11.857969,51.37795
"377",11.5833881,51.8325635
"378",11.8517729,52.6041444
"379",12.6279659,51.8739831
"380",11.0298799,50.9847679
"381",12.0807203,50.8850706
"382",11.5892372,50.927054
"383",10.6881255,50.6076846
"384",11.3235439,50.9794934
"385",10.3146872,50.9795715
"386",10.2428459,51.3618942
"387",10.791581,51.4990791
"388",10.1708203,50.8615247
"389",10.5099608,51.1686553
"390",NA,NA
"391",10.3649026,50.6343486
"392",10.7092884,50.9469188
"393",NA,NA
"394",10.7312097,50.4263293
"395",10.8970001,50.7113006
"396",11.4454373,51.0165423
"397",11.1709899,50.3601821
"398",11.3311193,50.6694981
"399",11.7602014,50.8793067
"400",11.7325506,50.5453057
"401",12.2077126,50.6585555
