"","district","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm"
"1",1001,56.74,83971,41322,42649,1480
"2",1002,118.65,241533,116951,124582,2036
"3",1003,214.21,212958,101734,111224,994
"4",1004,71.63,77058,37606,39452,1076
"5",1051,1428.11,132665,65124,67541,93
"6",1053,1263.01,189043,92291,96752,150
"7",1054,2082.76,161923,78853,83070,78
"8",1055,1392.65,197835,95235,102600,142
"9",1056,664.28,301223,146892,154331,453
"10",1057,1083.18,126643,61181,65462,117
"11",1058,2186.26,268075,131328,136747,123
"12",1059,2071.35,195135,96268,98867,94
"13",1060,1344.38,263202,129249,133953,196
"14",1061,1056.12,130017,63915,66102,123
"15",1062,766.33,234674,114044,120630,306
"16",2,755.3,1746342,847783,898559,2312
"17",3101,192.17,247227,121376,125851,1287
"18",3102,223.92,98197,47873,50324,439
"19",3103,204.06,122457,60349,62108,600
"20",3151,1562.83,171475,85335,86140,110
"21",3152,1117.24,248249,121071,127178,222
"22",3153,965.29,137833,67603,70230,143
"23",3154,674,90423,44586,45837,134
"24",3155,1267.06,134661,65926,68735,106
"25",3156,636.02,74367,36275,38092,117
"26",3157,534.93,130147,64003,66144,243
"27",3158,722.55,119900,58993,60907,166
"28",3241,2290.77,1119526,543339,576187,489
"29",3251,1987.94,209955,104085,105870,106
"30",3252,796.14,147755,70939,76816,186
"31",3254,1205.95,274519,132832,141687,228
"32",3255,692.58,71877,35354,36523,104
"33",3256,1398.97,119848,59209,60639,86
"34",3257,675.57,155599,75626,79973,230
"35",3351,1545.18,175552,85778,89774,114
"36",3352,2057.77,196607,96090,100517,96
"37",3353,1244.97,242871,118324,124547,195
"38",3354,1220.65,48670,23949,24721,40
"39",3355,1323.5,176727,85766,90961,134
"40",3356,650.79,110882,54355,56527,170
"41",3357,2070.3,161308,80823,80485,78
"42",3358,1873.67,136251,67473,68778,73
"43",3359,1266.02,196516,97880,98636,155
"44",3360,1454.14,92356,44952,47404,64
"45",3361,787.95,132459,64637,67822,168
"46",3401,62.36,74052,36407,37645,1187
"47",3402,112.35,49790,24477,25313,443
"48",3403,102.99,159610,75754,83856,1550
"49",3404,119.8,156315,74822,81493,1305
"50",3405,106.91,75728,36936,38792,708
"51",3451,728.36,118865,58158,60707,163
"52",3452,1287.31,187058,91632,95426,145
"53",3453,1418.4,160176,80598,79578,113
"54",3454,2882.04,313689,158523,155166,109
"55",3455,607.9,97093,47212,49881,160
"56",3456,980.86,133678,66473,67205,136
"57",3457,1086.02,164792,81696,83096,152
"58",3458,1063.12,125778,62342,63436,118
"59",3459,2121.59,350302,172950,177352,165
"60",3460,812.59,134188,67362,66826,165
"61",3461,821.9,88831,44181,44650,108
"62",3462,656.66,56400,27490,28910,86
"63",4011,325.42,548547,267621,280926,1686
"64",4012,93.82,108844,53611,55233,1160
"65",5111,217.41,598686,288114,310572,2754
"66",5112,232.8,486855,237743,249112,2091
"67",5113,210.34,569884,273982,295902,2709
"68",5114,137.78,222058,107084,114974,1612
"69",5116,170.45,255430,124452,130978,1499
"70",5117,91.28,166640,79425,87215,1826
"71",5119,77.1,209097,101827,107270,2712
"72",5120,74.52,108955,53172,55783,1462
"73",5122,89.54,155768,74822,80946,1740
"74",5124,168.39,343488,166113,177375,2040
"75",5154,1232.99,302698,149466,153232,245
"76",5158,407.22,476633,229018,247615,1170
"77",5162,576.52,440602,213436,227166,764
"78",5166,563.28,294921,143168,151753,524
"79",5170,1042.8,457033,221795,235238,438
"80",5314,141.06,311287,147304,163983,2207
"81",5315,405.01,1034175,501577,532598,2553
"82",5316,78.87,160819,77865,82954,2039
"83",5334,706.95,545067,272493,272574,771
"84",5358,941.37,258385,127307,131078,274
"85",5362,704.62,456602,222057,234545,648
"86",5366,1248.73,187437,92289,95148,150
"87",5370,627.99,248233,122114,126119,395
"88",5374,918.85,270290,132055,138235,294
"89",5378,437.32,278440,134690,143750,637
"90",5382,1153.2,582280,283675,298605,505
"91",5512,100.61,116055,56061,59994,1154
"92",5513,104.94,257850,126979,130871,2457
"93",5515,303.28,299708,143029,156679,988
"94",5554,1420.98,364271,181075,183196,256
"95",5558,1112.04,215282,105691,109591,194
"96",5562,760.45,613878,298151,315727,807
"97",5566,1795.76,434481,214563,219918,242
"98",5570,1319.41,272623,133849,138774,207
"99",5711,258.82,328864,158461,170403,1271
"100",5754,969.21,352334,174654,177680,364
"101",5758,450.41,248988,121285,127703,553
"102",5762,1201.42,142788,70709,72079,119
"103",5766,1246.21,345374,167812,177562,277
"104",5770,1152.41,309356,151399,157957,268
"105",5774,1246.8,296688,147341,149347,238
"106",5911,145.66,361734,174396,187338,2483
"107",5913,280.71,575944,281116,294828,2052
"108",5914,160.35,185996,89907,96089,1160
"109",5915,226.43,176048,85813,90235,777
"110",5916,51.42,154417,74675,79742,3003
"111",5954,408.44,322731,155738,166993,790
"112",5958,1960.17,261999,129615,132384,134
"113",5962,1061.06,416240,203569,212671,392
"114",5966,712.14,134947,67266,67681,189
"115",5970,1132.89,274904,135077,139827,243
"116",5974,1328.64,294971,144777,150194,222
"117",5978,543.21,391622,189556,202066,721
"118",6411,122.09,149743,75275,74468,1226
"119",6412,248.31,701350,344952,356398,2824
"120",6413,44.89,119203,58963,60240,2655
"121",6414,203.92,273871,130760,143111,1343
"122",6431,719.52,262322,128647,133675,365
"123",6432,658.65,285407,140871,144536,433
"124",6433,453.05,257301,127204,130097,568
"125",6434,482.02,229167,110265,118902,475
"126",6435,1397.55,404995,198091,206904,290
"127",6436,222.39,228021,110818,117203,1025
"128",6437,623.98,96201,47380,48821,154
"129",6438,356.3,338300,165651,172649,949
"130",6439,811.48,181190,88594,92596,223
"131",6440,1100.73,295408,145084,150324,268
"132",6531,854.64,253820,124134,129686,297
"133",6532,1066.52,251327,123096,128231,236
"134",6533,738.48,169964,83781,86183,230
"135",6534,1262.55,241656,117854,123802,191
"136",6535,1458.99,106383,52712,53671,73
"137",6611,106.78,194087,93967,100120,1818
"138",6631,1380.39,216314,106118,110196,157
"139",6632,1097.13,119651,59158,60493,109
"140",6633,1292.92,233352,113798,119554,180
"141",6634,1538.49,179429,89142,90287,117
"142",6635,1848.45,156607,77326,79281,85
"143",6636,1024.7,100356,48909,51447,98
"144",7111,105.13,110643,53188,57455,1052
"145",7131,786.99,126102,61536,64566,160
"146",7132,642,128373,63240,65133,200
"147",7133,863.7,155297,75420,79877,180
"148",7134,776.55,80673,39697,40976,104
"149",7135,719.97,63202,31485,31717,88
"150",7137,817.26,209785,102901,106884,257
"151",7138,626.88,179454,87750,91704,286
"152",7140,963.39,100770,49780,50990,105
"153",7141,782.34,121375,59764,61611,155
"154",7143,988.97,198704,98331,100373,201
"155",7211,117.13,107233,51782,55451,916
"156",7231,1167.59,110643,54811,55832,95
"157",7232,1626.26,96158,47973,48185,59
"158",7233,911.05,60765,30112,30653,67
"159",7235,1101.49,144337,70958,73379,131
"160",7311,43.76,47332,22864,24468,1082
"161",7312,139.73,97162,48493,48669,695
"162",7313,82.96,43825,20609,23216,528
"163",7314,77.55,161518,79764,81754,2083
"164",7315,97.74,204268,98529,105739,2090
"165",7316,117.1,52400,25308,27092,447
"166",7317,61.37,40101,19242,20859,653
"167",7318,42.6,49740,23906,25834,1168
"168",7319,108.73,80296,38946,41350,738
"169",7320,70.64,34084,16676,17408,483
"170",7331,588.14,125213,62185,63028,213
"171",7332,594.79,131041,64062,66979,220
"172",7333,645.49,75192,37059,38133,116
"173",7334,463.35,125434,62243,63191,271
"174",7335,639.88,104117,50998,53119,163
"175",7336,573.35,71098,35163,35935,124
"176",7337,639.83,109026,53691,55335,170
"177",7338,304.94,149068,72974,76094,489
"178",7339,605.73,203338,99855,103483,336
"179",7340,953.65,96599,47641,48958,101
"180",8111,207.35,604297,298413,305884,2914
"181",8115,617.82,370392,182704,187688,600
"182",8116,641.48,512279,252108,260171,799
"183",8117,642.36,248813,122731,126082,387
"184",8118,686.82,521633,257080,264553,759
"185",8119,858.14,411025,201855,209170,479
"186",8121,99.88,118122,58440,59682,1183
"187",8125,1099.93,326035,161934,164101,296
"188",8126,776.76,107866,53969,53897,139
"189",8127,1484,187682,93657,94025,126
"190",8128,1304.41,129857,64015,65842,100
"191",8135,627.12,127947,63283,64664,204
"192",8136,1511.57,306933,151882,155051,203
"193",8211,140.21,53012,24893,28119,378
"194",8212,173.46,299103,150451,148652,1724
"195",8215,1084.94,429186,211795,217391,396
"196",8216,738.75,223311,109963,113348,302
"197",8221,108.83,152113,72422,79691,1398
"198",8222,144.96,296690,146345,150345,2047
"199",8225,1126.25,141584,70441,71143,126
"200",8226,1061.71,531013,258970,272043,500
"201",8231,98,117754,57147,60607,1202
"202",8235,797.51,151461,75016,76445,190
"203",8236,573.69,192811,95032,97779,336
"204",8237,870.67,114793,56630,58163,132
"205",8311,153.06,220286,103982,116304,1439
"206",8315,1378.34,250137,122249,127888,181
"207",8316,679.88,158177,77608,80569,233
"208",8317,1860.78,412678,203550,209128,222
"209",8325,769.43,135319,66921,68398,176
"210",8326,1025.26,205090,100855,104235,200
"211",8327,734.35,133198,66204,66994,181
"212",8335,817.97,273407,132172,141235,334
"213",8336,806.77,221943,108111,113832,275
"214",8337,1131.15,164265,80674,83591,145
"215",8415,1092.72,276019,135326,140693,253
"216",8416,519.19,216535,105212,111323,417
"217",8417,917.71,184615,90722,93893,201
"218",8421,118.69,119218,58341,60877,1004
"219",8425,1358.67,187892,93867,94025,138
"220",8426,1409.75,188696,94063,94633,134
"221",8435,664.8,207450,101660,105790,312
"222",8436,1631.82,273540,134892,138648,168
"223",8437,1204.34,127101,62980,64121,106
"224",9161,133.37,129136,64731,64405,968
"225",9162,310.74,1407836,683126,724710,4531
"226",9163,37.22,60464,29546,30918,1625
"227",9171,569.35,106965,52378,54587,188
"228",9172,839.92,102346,49891,52455,122
"229",9173,1110.69,122118,59850,62268,110
"230",9174,579.18,144407,71636,72771,249
"231",9175,549.37,133007,65811,67196,242
"232",9176,1214.06,125858,63300,62558,104
"233",9177,870.72,130238,65192,65046,150
"234",9178,799.82,169010,85466,83544,211
"235",9179,434.79,208272,101205,107067,479
"236",9180,1012.23,85443,41154,44289,84
"237",9181,804.38,114926,56988,57938,143
"238",9182,866.23,96049,46565,49484,111
"239",9183,805.31,109227,54591,54636,136
"240",9184,664.25,329981,162383,167598,497
"241",9185,739.8,92700,46418,46282,125
"242",9186,761.14,119987,60632,59355,158
"243",9187,1439.54,249810,123049,126761,174
"244",9188,487.71,130811,62863,67948,268
"245",9189,1534,170364,83288,87076,111
"246",9190,966.38,130387,64322,66065,135
"247",9261,65.81,66179,31659,34520,1006
"248",9262,69.57,49454,23239,26215,711
"249",9263,67.58,45502,22636,22866,673
"250",9271,861.3,115374,57071,58303,134
"251",9272,984.14,77626,38426,39200,79
"252",9273,1065.98,115232,57764,57468,108
"253",9274,1347.91,150316,75767,74549,112
"254",9275,1530.29,185671,91391,94280,121
"255",9276,974.91,76257,37813,38444,78
"256",9277,1281.42,117654,58380,59274,92
"257",9278,1201.94,97323,48597,48726,81
"258",9279,877.79,92565,47210,45355,105
"259",9361,50.13,41592,20353,21239,830
"260",9362,80.7,140276,67035,73241,1738
"261",9363,70.54,41726,19765,21961,592
"262",9371,1255.76,103074,51248,51826,82
"263",9372,1520.16,125553,62483,63070,83
"264",9373,1344.12,127826,64011,63815,95
"265",9374,1427.67,95447,47339,48108,67
"266",9375,1391.9,185980,92504,93476,134
"267",9376,1464.98,143060,71491,71569,98
"268",9377,1084.23,73457,36343,37114,68
"269",9461,54.62,71167,33421,37746,1303
"270",9462,66.9,71572,34364,37208,1070
"271",9463,48.29,40994,19715,21279,849
"272",9464,58.03,44522,21080,23442,767
"273",9471,1167.84,144425,71904,72521,124
"274",9472,1273.78,104637,51537,53100,82
"275",9473,590.47,86719,42685,44034,147
"276",9474,642.79,113424,55927,57497,176
"277",9475,892.52,97096,47063,50033,109
"278",9476,651.53,68484,33604,34880,105
"279",9477,658.34,72898,35570,37328,111
"280",9478,519.95,66644,32663,33981,128
"281",9479,606.43,73783,35495,38288,122
"282",9561,99.91,39839,18895,20944,399
"283",9562,76.95,105624,51877,53747,1373
"284",9563,63.35,119808,58052,61756,1891
"285",9564,186.37,498876,240640,258236,2677
"286",9565,40.82,39546,19126,20420,969
"287",9571,1971.84,178914,89141,89773,91
"288",9572,564.66,132012,65421,66591,234
"289",9573,307.55,114513,55631,58882,372
"290",9574,799.57,165000,80818,84182,206
"291",9575,1267.55,97482,48296,49186,77
"292",9576,895.39,123431,61021,62410,138
"293",9577,970.91,92331,45817,46514,95
"294",9661,62.47,67844,32509,35335,1086
"295",9662,35.7,51851,24974,26877,1452
"296",9663,87.63,124698,58690,66008,1423
"297",9671,699.15,172791,85792,86999,247
"298",9672,1136.96,102865,50217,52648,90
"299",9673,1021.77,79965,39598,40367,78
"300",9674,956.38,84090,42012,42078,88
"301",9675,684.19,88097,43821,44276,129
"302",9676,715.86,127909,63644,64265,179
"303",9677,1321.42,126295,62782,63513,96
"304",9678,841.46,113007,56262,56745,134
"305",9679,968.4,158580,78529,80051,164
"306",9761,146.84,276542,134549,141993,1883
"307",9762,40.03,41759,20258,21501,1043
"308",9763,63.28,65044,31905,33139,1028
"309",9764,70.14,41772,20371,21401,596
"310",9771,780.33,128435,63741,64694,165
"311",9772,1071.12,240911,119037,121874,225
"312",9773,792.22,93129,46180,46949,118
"313",9774,762.44,120696,60320,60376,158
"314",9775,515.87,166643,82229,84414,323
"315",9776,323.44,78939,38653,40286,244
"316",9777,1394.92,134771,66693,68078,97
"317",9778,1230.06,137484,68733,68751,112
"318",9779,1274.68,129422,65203,64219,102
"319",9780,1528.01,150478,73788,76690,98
"320",10041,410.63,325978,158386,167592,794
"321",10042,555.16,103135,50638,52497,186
"322",10043,249.25,133222,64864,68358,534
"323",10044,459.03,195976,95367,100609,427
"324",10045,418.39,143851,69614,74237,344
"325",10046,476.23,88556,43540,45016,186
"326",11,891.68,3421829,1669853,1751976,3838
"327",12051,229.71,71032,34852,36180,309
"328",12052,165.15,99595,48907,50688,603
"329",12053,147.85,58018,27733,30285,392
"330",12054,188.25,161468,77383,84085,858
"331",12060,1479.69,173754,85935,87819,117
"332",12061,2274.28,160793,79404,81389,71
"333",12062,1899.57,106157,52428,53729,56
"334",12063,1727.3,153874,76018,77856,89
"335",12064,2158.65,187668,92972,94696,87
"336",12065,1808.2,203012,99944,103068,112
"337",12066,1223.08,113842,55726,58116,93
"338",12067,2256.75,176850,87048,89802,78
"339",12068,2526.56,98944,49145,49799,39
"340",12069,2592,205520,101665,103855,79
"341",12070,2138.59,77993,38513,39480,36
"342",12071,1657.43,118899,58576,60323,72
"343",12072,2104.2,160448,79653,80795,76
"344",12073,3076.9,121326,59519,61807,39
"345",13003,181.26,203431,99559,103872,1122
"346",13004,130.52,91583,43536,48047,702
"347",13071,5470.03,262412,128641,133771,48
"348",13072,3422.23,210555,104956,105599,62
"349",13073,3207.22,223109,109655,113454,70
"350",13074,2118.45,155265,77288,77977,73
"351",13075,3929.48,238185,116949,121236,61
"352",13076,4751.86,211965,105749,106216,45
"353",14511,220.86,242022,117495,124527,1096
"354",14521,1828.43,351309,171418,179891,192
"355",14522,2113.4,314591,155331,159260,149
"356",14523,1411.9,233970,113382,120588,166
"357",14524,949.27,327062,158462,168600,345
"358",14612,328.31,530754,261664,269090,1617
"359",14625,2390.74,308350,151839,156511,129
"360",14626,2106.3,262168,127915,134253,124
"361",14627,1452.39,243716,119570,124146,168
"362",14628,1653.7,245939,121119,124820,149
"363",14713,297.39,531562,257414,274148,1787
"364",14729,1647.12,257596,126061,131535,156
"365",14730,2020.35,197346,97518,99828,98
"366",15001,244.74,83616,40428,43188,342
"367",15002,135.01,231565,110632,120933,1715
"368",15003,201,231021,112495,118526,1149
"369",15081,2293.05,86312,43061,43251,38
"370",15082,1453.51,166828,81533,85295,115
"371",15083,2366.64,172955,86004,86951,73
"372",15084,1413.69,184956,90995,93961,131
"373",15085,2104.55,221043,107757,113286,105
"374",15086,1576.77,91721,45624,46097,58
"375",15087,1448.82,143246,70402,72844,99
"376",15088,1433.66,187690,92599,95091,131
"377",15089,1426.68,198715,96699,102016,139
"378",15090,2423.15,115471,56882,58589,48
"379",15091,1930.3,129438,63457,65981,67
"380",16051,269.15,204880,98751,106129,761
"381",16052,151.92,94977,45497,49480,625
"382",16053,114.48,107679,53190,54489,941
"383",16054,102.71,35665,17212,18453,347
"384",16055,84.19,63315,30402,32913,752
"385",16056,103.84,41567,20118,21449,400
"386",16061,940.13,100951,50650,50301,107
"387",16062,711.02,85380,42138,43242,120
"388",16063,1304.87,126283,63070,63213,97
"389",16064,975.56,104245,51406,52839,107
"390",16065,1035.19,77656,38431,39225,75
"391",16066,1210.13,125574,62616,62958,104
"392",16067,935.62,135155,66902,68253,144
"393",16068,804.21,70833,35281,35552,88
"394",16069,937.27,65032,32383,32649,69
"395",16070,843.14,108958,54387,54571,129
"396",16071,803.04,81704,40414,41290,102
"397",16072,433.48,57252,28002,29250,132
"398",16073,1034.63,110307,54020,56287,107
"399",16074,816.97,84001,41645,42356,103
"400",16075,1148.39,83654,41176,42478,73
"401",16076,843.54,102167,50178,51989,121
"402",16077,569.09,93605,45795,47810,164
