"","district","district_year","districtName","bodily harm","dangerous bodily harm","violent crime","murder and manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"1",2,"2y2013",NA,14703,5406,8665,56,3046,6746,13874,697,1425,3625,61,8066,71557,5468,8.6
"2",11,"11y2013",NA,28924,10340,17275,106,6222,12963,29211,2115,5100,9825,0,12171,210083,19108,13.9
"3",1001,"1001y2013",NA,651,223,329,0,97,493,1282,97,226,373,41,545,5205,642,12.3
"4",1002,"1002y2013",NA,1948,640,937,5,258,995,2186,168,399,645,68,906,13070,1251,11.4
"5",1003,"1003y2013",NA,1926,658,948,3,255,1002,2100,180,549,667,60,644,11109,1212,11.6
"6",1004,"1004y2013",NA,860,226,318,1,75,339,1087,96,173,386,33,399,4458,557,12.5
"7",1051,"1051y2013",NA,596,126,194,0,58,724,1553,133,357,687,21,355,5003,645,8.6
"8",1053,"1053y2013",NA,813,222,307,3,66,837,1809,155,393,702,52,507,6191,747,7
"9",1054,"1054y2013",NA,874,215,288,3,54,2076,1979,142,461,907,27,442,5868,577,7.3
"10",1055,"1055y2013",NA,904,245,324,6,52,1428,2148,186,488,848,51,575,6489,697,7.3
"11",1056,"1056y2013",NA,1551,433,592,6,127,1855,3316,215,598,1243,100,1160,8815,878,6.1
"12",1057,"1057y2013",NA,514,123,152,0,20,743,1151,93,247,525,20,266,3582,372,6.4
"13",1058,"1058y2013",NA,1100,338,459,4,78,1292,2717,220,660,1052,64,721,7687,926,6.4
"14",1059,"1059y2013",NA,704,167,228,6,36,1128,1935,165,473,821,14,462,7878,948,8.6
"15",1060,"1060y2013",NA,1026,249,388,4,105,1098,2729,196,589,1102,59,783,7171,695,5.7
"16",1061,"1061y2013",NA,550,139,227,1,69,566,1348,95,345,526,19,363,4156,527,6.9
"17",1062,"1062y2013",NA,831,204,297,5,70,1285,2204,96,287,758,65,998,5067,493,4.7
"18",3101,"3101y2013",NA,1772,750,997,10,202,1147,2578,151,274,875,85,1193,9301,632,7.8
"19",3102,"3102y2013",NA,466,171,227,3,41,334,1114,37,185,649,15,228,4680,451,10.4
"20",3103,"3103y2013",NA,577,162,255,7,73,663,1519,61,169,649,61,579,3153,306,5.4
"21",3151,"3151y2013",NA,686,219,285,4,42,698,1722,81,208,969,20,444,4698,521,5.7
"22",3152,"3152y2013",NA,1349,454,592,8,109,1000,2485,106,256,926,163,1034,8725,679,7.5
"23",3153,"3153y2013",NA,739,242,340,5,70,731,1376,80,185,716,20,375,5995,495,9.9
"24",3154,"3154y2013",NA,385,152,187,2,22,356,901,54,114,429,21,283,3532,344,8.3
"25",3155,"3155y2013",NA,540,184,238,3,39,624,1482,64,214,687,21,496,5078,503,8.1
"26",3156,"3156y2013",NA,291,84,113,1,19,311,703,27,115,380,10,171,2954,275,8.7
"27",3157,"3157y2013",NA,397,152,187,5,18,512,1396,59,167,686,44,440,4153,431,6.7
"28",3158,"3158y2013",NA,366,116,158,6,24,590,1126,45,122,604,11,344,3791,349,6.9
"29",3241,"3241y2013",NA,7429,2719,3701,31,801,4833,11202,544,1396,4613,291,4358,48239,4589,9.1
"30",3251,"3251y2013",NA,775,231,354,8,90,924,2361,83,313,1252,51,662,5240,623,5.1
"31",3252,"3252y2013",NA,714,293,371,8,53,687,1568,112,255,732,19,450,6206,709,9.1
"32",3254,"3254y2013",NA,1393,434,579,7,104,1138,3191,181,415,1440,57,1098,10920,1118,8.5
"33",3255,"3255y2013",NA,291,111,136,3,17,297,692,50,122,381,8,131,2970,307,9.3
"34",3256,"3256y2013",NA,388,143,230,9,65,540,1570,78,228,733,126,405,3951,447,6.9
"35",3257,"3257y2013",NA,534,189,272,3,65,708,1675,62,186,731,58,638,5509,612,7.7
"36",3351,"3351y2013",NA,919,312,423,13,69,898,1984,114,358,1034,21,457,6621,743,8.3
"37",3352,"3352y2013",NA,744,330,449,5,92,1211,1997,143,305,1104,14,431,6133,662,6.9
"38",3353,"3353y2013",NA,879,238,355,9,84,1148,2543,73,284,1335,17,834,6233,627,5.4
"39",3354,"3354y2013",NA,170,63,85,3,12,212,528,28,95,264,8,133,2353,229,12
"40",3355,"3355y2013",NA,1018,331,440,3,92,1055,1910,76,229,880,55,670,5990,549,7.2
"41",3356,"3356y2013",NA,392,153,218,5,50,533,1253,75,210,577,11,380,2621,319,5
"42",3357,"3357y2013",NA,848,347,472,12,82,685,2002,95,279,1080,30,518,3888,438,5
"43",3358,"3358y2013",NA,828,268,353,8,51,592,1689,128,290,815,30,426,4927,616,7.5
"44",3359,"3359y2013",NA,710,231,367,6,112,1082,2206,112,310,1157,40,587,6509,760,6.8
"45",3360,"3360y2013",NA,312,96,145,2,35,390,1050,35,141,563,40,271,3197,355,7.8
"46",3361,"3361y2013",NA,544,171,260,9,53,640,1537,74,183,819,9,452,4006,311,6.2
"47",3401,"3401y2013",NA,428,156,248,0,82,304,868,59,163,398,20,228,4207,425,11.9
"48",3402,"3402y2013",NA,380,153,195,0,32,228,567,53,65,278,8,163,2335,276,10
"49",3403,"3403y2013",NA,807,279,439,5,134,839,1906,114,206,685,76,825,7144,807,9.1
"50",3404,"3404y2013",NA,1032,556,816,5,219,652,2114,98,166,871,86,893,6606,633,8.6
"51",3405,"3405y2013",NA,617,275,369,3,72,366,827,47,138,347,15,280,4633,484,13.7
"52",3451,"3451y2013",NA,323,100,140,4,25,587,1351,36,229,727,28,331,2813,242,5
"53",3452,"3452y2013",NA,979,390,467,3,56,1664,2436,200,396,1240,92,508,7713,832,8.8
"54",3453,"3453y2013",NA,684,193,249,0,38,717,2185,104,454,1249,16,362,4871,602,6.3
"55",3454,"3454y2013",NA,1434,509,647,7,100,1410,3981,186,620,2192,29,954,6207,790,4.1
"56",3455,"3455y2013",NA,523,144,189,5,30,793,1070,38,190,618,10,214,3004,286,6.8
"57",3456,"3456y2013",NA,469,171,225,2,45,645,1705,117,269,892,70,357,3192,324,5
"58",3457,"3457y2013",NA,635,193,263,3,52,946,1870,140,402,959,22,347,5385,658,7.2
"59",3458,"3458y2013",NA,432,141,177,3,26,582,1199,51,216,772,13,147,3247,329,5.3
"60",3459,"3459y2013",NA,902,291,455,7,118,1622,3466,143,484,2056,63,720,7776,722,4.5
"61",3460,"3460y2013",NA,494,224,312,5,69,615,1783,81,228,934,34,506,3076,393,4.3
"62",3461,"3461y2013",NA,342,132,177,3,31,362,1068,44,166,573,11,274,3490,418,8.5
"63",3462,"3462y2013",NA,246,79,97,1,8,534,704,33,132,334,14,191,1934,209,7.7
"64",4011,"4011y2013",NA,3979,1529,2639,14,1018,2148,5770,352,1192,2060,0,2166,28878,2603,11.5
"65",4012,"4012y2013",NA,981,334,588,7,223,471,1563,97,300,560,0,606,8319,834,16.3
"66",5111,"5111y2013",NA,3894,1463,2609,12,1023,2864,6837,342,813,2166,0,3516,27715,1596,9.8
"67",5112,"5112y2013",NA,2835,1160,1879,22,638,1727,6065,343,967,2055,1,2699,31555,2986,14.3
"68",5113,"5113y2013",NA,2595,1136,1924,11,699,2229,7537,437,859,2388,1,3852,35896,3445,13.6
"69",5114,"5114y2013",NA,1562,460,733,2,239,973,3479,196,584,1164,0,1535,12800,1029,12.5
"70",5116,"5116y2013",NA,1269,575,853,8,234,916,3913,277,758,1098,0,1780,15053,1650,12.7
"71",5117,"5117y2013",NA,599,242,389,4,126,966,2140,72,218,678,0,1172,6336,275,8.3
"72",5119,"5119y2013",NA,1181,370,581,4,187,935,2599,121,448,869,3,1158,13194,1377,13.6
"73",5120,"5120y2013",NA,661,173,249,1,66,419,1706,48,291,613,0,754,5420,563,10.3
"74",5122,"5122y2013",NA,725,248,368,3,108,703,2050,91,307,657,0,995,7398,791,9.9
"75",5124,"5124y2013",NA,2470,650,1152,6,451,1614,4637,225,695,1547,4,2166,21122,2188,13.1
"76",5154,"5154y2013",NA,1097,345,515,6,148,1441,4265,234,646,1691,0,1694,10171,1169,7.2
"77",5158,"5158y2013",NA,2037,687,945,10,219,1990,6445,285,883,2481,0,2796,18023,1486,7.9
"78",5162,"5162y2013",NA,1657,478,748,2,224,2077,6502,222,770,2225,0,3285,14622,1239,7.1
"79",5166,"5166y2013",NA,943,287,425,6,114,1329,4794,208,559,1670,2,2355,11316,1198,8
"80",5170,"5170y2013",NA,2085,672,980,2,286,2201,6606,283,900,2402,0,3021,17582,1814,8.2
"81",5314,"5314y2013",NA,1749,679,1185,0,457,1449,5448,153,528,1668,5,3094,11368,898,7.8
"82",5315,"5315y2013",NA,8615,3488,5574,35,1851,5190,11805,504,1736,3922,6,5637,52124,3718,10.6
"83",5316,"5316y2013",NA,967,371,552,4,161,611,2350,135,256,767,0,1192,6860,779,9.3
"84",5334,"5334y2013",NA,2987,1321,2058,20,649,2580,7422,273,977,2338,0,3834,25069,2338,9.8
"85",5358,"5358y2013",NA,1297,443,665,7,189,1177,3857,146,568,1419,0,1724,10793,1292,8.8
"86",5362,"5362y2013",NA,2166,643,1052,13,340,2112,6171,212,804,2232,0,2923,18403,1851,8.6
"87",5366,"5366y2013",NA,649,254,345,2,81,868,3158,102,464,1138,0,1454,6192,744,6.8
"88",5370,"5370y2013",NA,1095,344,503,5,125,1238,3834,164,518,1416,0,1736,9443,1194,8.1
"89",5374,"5374y2013",NA,964,328,464,6,101,1310,4516,167,568,1795,0,1986,8750,1005,6.7
"90",5378,"5378y2013",NA,904,248,360,1,90,1369,3791,101,402,1337,0,1951,9205,803,7.2
"91",5382,"5382y2013",NA,1752,662,1036,10,313,2790,8222,373,988,2751,2,4108,17986,2083,6.6
"92",5512,"5512y2013",NA,471,190,273,4,71,520,1399,63,180,486,0,670,5277,646,9.9
"93",5513,"5513y2013",NA,1737,613,1025,8,376,1180,3733,316,732,1309,0,1376,17946,1810,16
"94",5515,"5515y2013",NA,1587,559,833,1,243,1495,4446,165,417,1211,25,2628,9257,850,6.5
"95",5554,"5554y2013",NA,1453,395,563,3,142,1975,6273,252,838,2755,0,2428,8725,990,4.8
"96",5558,"5558y2013",NA,786,204,295,1,74,1466,3477,93,414,1428,0,1542,3945,493,3.7
"97",5562,"5562y2013",NA,2858,966,1505,11,452,2498,8622,440,1229,3280,0,3673,35158,3430,12.2
"98",5566,"5566y2013",NA,1572,429,598,1,141,1928,7323,257,1119,2894,0,3053,11609,1512,5.4
"99",5570,"5570y2013",NA,939,229,335,2,78,1124,4429,130,596,1784,0,1919,8821,960,6.6
"100",5711,"5711y2013",NA,1648,474,724,3,200,1305,5124,219,618,1844,7,2436,15533,1704,10.4
"101",5754,"5754y2013",NA,1068,364,533,8,139,1590,5683,193,763,2228,0,2499,10273,1162,5.9
"102",5758,"5758y2013",NA,823,241,382,5,115,1104,4044,159,394,1526,0,1965,8315,935,7
"103",5762,"5762y2013",NA,561,185,218,2,24,616,2856,112,307,1060,0,1377,3944,470,5.9
"104",5766,"5766y2013",NA,828,408,574,10,124,1585,5241,202,746,2126,0,2167,13725,1555,8.5
"105",5770,"5770y2013",NA,810,302,470,7,138,1266,5282,202,646,1981,1,2452,9385,1079,6.4
"106",5774,"5774y2013",NA,1086,412,566,3,120,1459,4770,139,772,1930,5,1924,10087,1125,6.9
"107",5911,"5911y2013",NA,2466,872,1337,9,417,1387,4819,191,656,1741,4,2227,19112,1696,11.4
"108",5913,"5913y2013",NA,3975,1935,3257,19,1221,2183,7321,460,1044,2605,8,3204,38511,3659,14.6
"109",5914,"5914y2013",NA,1010,320,553,2,212,743,2871,106,398,1066,1,1300,10154,1104,11.8
"110",5915,"5915y2013",NA,793,297,455,4,120,786,2741,152,472,1137,0,980,9416,891,11.5
"111",5916,"5916y2013",NA,1015,246,409,3,146,650,2127,125,326,754,0,922,10510,975,15.2
"112",5954,"5954y2013",NA,1328,395,589,4,173,1816,4269,184,481,1564,0,2040,12779,976,8.3
"113",5958,"5958y2013",NA,949,232,358,9,89,1159,4254,162,603,1681,0,1808,7497,753,5.8
"114",5962,"5962y2013",NA,2117,583,875,14,234,1901,6072,384,872,2305,0,2511,15864,1604,7.9
"115",5966,"5966y2013",NA,560,170,209,1,33,697,2308,126,347,806,0,1029,3653,405,5.3
"116",5970,"5970y2013",NA,1112,381,483,1,81,1303,4709,153,556,1806,24,2170,8678,1095,6.4
"117",5974,"5974y2013",NA,1245,372,521,4,118,1427,4842,174,584,1783,1,2300,10355,967,7.1
"118",5978,"5978y2013",NA,1676,556,872,5,272,1654,6056,317,831,2030,0,2878,19835,1728,10.7
"119",6411,"6411y2013",NA,574,315,438,1,109,733,2397,56,191,711,57,1382,5072,483,7.4
"120",6412,"6412y2013",NA,3914,2176,3315,34,1016,2807,6153,299,768,2526,64,2496,26233,1950,8.3
"121",6413,"6413y2013",NA,568,314,558,8,210,414,1506,94,309,519,23,561,6899,530,12.5
"122",6414,"6414y2013",NA,1635,792,1062,13,222,1444,3110,180,382,1273,40,1235,10773,1198,8.3
"123",6431,"6431y2013",NA,537,228,324,10,79,1232,3408,87,417,1336,27,1541,6250,364,5.1
"124",6432,"6432y2013",NA,583,236,308,7,56,1343,3063,151,527,1369,0,1016,7652,787,5.6
"125",6433,"6433y2013",NA,454,202,289,5,67,967,2897,134,516,1374,0,873,8311,872,6.8
"126",6434,"6434y2013",NA,600,213,309,9,69,1172,2774,87,375,1024,0,1288,4555,324,4.6
"127",6435,"6435y2013",NA,908,350,582,16,175,2180,5061,206,881,2269,0,1705,10988,1202,5.8
"128",6436,"6436y2013",NA,621,275,356,3,64,766,2611,77,345,1027,0,1162,5400,460,5
"129",6437,"6437y2013",NA,193,76,102,0,22,423,1311,41,209,595,0,466,2990,360,6.6
"130",6438,"6438y2013",NA,831,375,582,6,175,1191,3884,134,567,1478,92,1613,9964,937,6.2
"131",6439,"6439y2013",NA,420,149,203,3,35,1030,2034,99,261,836,0,838,4142,303,4.9
"132",6440,"6440y2013",NA,786,292,408,15,89,1294,4110,178,543,1486,0,1903,8225,865,6
"133",6531,"6531y2013",NA,880,350,512,22,111,1054,3642,133,396,1520,28,1565,9457,971,7.9
"134",6532,"6532y2013",NA,584,216,320,25,62,1116,3040,122,602,1421,38,857,8330,905,6.9
"135",6533,"6533y2013",NA,464,212,280,11,39,764,2608,93,497,999,10,1009,5222,557,6.6
"136",6534,"6534y2013",NA,835,251,371,11,83,1090,2925,120,400,1245,3,1157,5928,655,5.2
"137",6535,"6535y2013",NA,275,91,119,5,15,470,1170,46,209,572,0,343,2661,310,5.2
"138",6611,"6611y2013",NA,936,483,769,16,246,882,2551,168,316,913,30,1124,9947,1153,11.3
"139",6631,"6631y2013",NA,622,249,342,7,74,992,3176,105,590,1434,0,1047,4138,446,4
"140",6632,"6632y2013",NA,391,136,207,7,59,484,1410,50,285,713,33,329,3211,380,5.8
"141",6633,"6633y2013",NA,407,198,256,3,44,1056,2669,89,428,1285,0,867,6415,697,5.9
"142",6634,"6634y2013",NA,413,165,244,8,56,753,2469,129,325,1030,0,985,5042,626,6
"143",6635,"6635y2013",NA,412,135,192,3,44,778,1993,97,328,947,0,621,4373,524,5.8
"144",6636,"6636y2013",NA,328,95,137,6,25,459,1124,54,232,521,0,317,3429,392,7.7
"145",7111,"7111y2013",NA,1077,343,429,2,77,578,1515,87,254,442,53,679,3708,335,7.2
"146",7131,"7131y2013",NA,596,211,258,1,35,611,1413,52,239,535,25,562,2913,317,5
"147",7132,"7132y2013",NA,704,231,270,0,32,569,1677,65,355,752,29,476,3953,469,6.4
"148",7133,"7133y2013",NA,871,270,372,4,79,784,1745,82,363,658,15,627,5829,630,7.9
"149",7134,"7134y2013",NA,393,107,132,2,13,337,792,29,186,351,14,212,2914,331,7.6
"150",7135,"7135y2013",NA,301,72,83,2,7,323,529,43,120,273,2,91,1358,163,4.5
"151",7137,"7137y2013",NA,860,286,350,3,47,1163,2112,127,478,1002,18,487,5596,639,5.5
"152",7138,"7138y2013",NA,811,237,330,4,72,806,2170,188,382,1113,25,462,5540,643,6.6
"153",7140,"7140y2013",NA,276,101,132,0,24,519,1194,53,292,531,11,307,2652,287,5.3
"154",7141,"7141y2013",NA,495,139,177,0,24,636,1357,105,241,568,14,429,2779,192,4.8
"155",7143,"7143y2013",NA,827,202,251,2,29,844,2148,131,497,1050,18,452,4519,479,4.6
"156",7211,"7211y2013",NA,893,305,413,1,101,578,1457,67,277,474,31,608,3146,384,6.2
"157",7231,"7231y2013",NA,508,149,186,3,19,557,1272,72,196,669,14,321,2341,297,4.3
"158",7232,"7232y2013",NA,284,89,117,0,17,432,1217,47,216,511,19,424,1636,240,3.6
"159",7233,"7233y2013",NA,258,68,80,1,7,288,784,39,134,364,3,244,1562,191,5.3
"160",7235,"7235y2013",NA,406,130,157,1,18,635,1251,92,228,598,9,324,2795,348,3.9
"161",7311,"7311y2013",NA,357,110,158,0,42,208,679,60,116,232,16,255,1673,176,7.8
"162",7312,"7312y2013",NA,1150,457,592,3,122,378,1336,67,192,400,62,615,5409,543,11.8
"163",7313,"7313y2013",NA,329,116,154,0,29,239,880,49,118,315,12,386,1164,120,5.5
"164",7314,"7314y2013",NA,1770,560,795,5,202,581,1774,160,418,513,47,636,7591,747,10.2
"165",7315,"7315y2013",NA,1786,597,754,7,131,803,2345,42,334,717,91,1161,6633,571,6.8
"166",7316,"7316y2013",NA,339,172,196,1,18,312,500,35,77,117,6,265,1627,168,6.6
"167",7317,"7317y2013",NA,309,122,167,3,38,149,492,33,105,148,7,199,2711,313,14.7
"168",7318,"7318y2013",NA,412,112,149,0,31,434,878,22,109,278,19,450,1688,187,7.1
"169",7319,"7319y2013",NA,573,239,371,0,114,291,878,36,163,348,13,318,3655,474,9.4
"170",7320,"7320y2013",NA,185,53,71,0,17,193,508,26,73,176,14,219,1408,128,8.8
"171",7331,"7331y2013",NA,404,131,164,2,24,660,1554,68,279,671,55,481,3167,397,5.2
"172",7332,"7332y2013",NA,703,226,283,0,50,771,1049,78,183,459,8,321,2910,300,4.8
"173",7333,"7333y2013",NA,303,117,147,0,28,351,1035,61,188,493,20,273,2364,291,6.5
"174",7334,"7334y2013",NA,636,177,208,1,22,523,1132,45,200,574,4,309,3263,367,5.2
"175",7335,"7335y2013",NA,423,122,143,0,16,517,1052,66,237,448,20,281,3155,363,6.4
"176",7336,"7336y2013",NA,277,86,100,1,11,353,737,27,161,397,9,143,1927,230,5.6
"177",7337,"7337y2013",NA,431,135,154,0,11,637,1069,52,102,538,13,364,2386,258,4.6
"178",7338,"7338y2013",NA,652,156,215,1,39,638,1068,42,245,626,7,148,3036,315,4.1
"179",7339,"7339y2013",NA,883,211,266,4,37,1047,1921,81,313,741,43,743,4786,553,4.8
"180",7340,"7340y2013",NA,190,66,83,1,6,478,752,17,213,399,9,114,2560,306,5.4
"181",8111,"8111y2013",NA,4758,1567,2272,19,576,2501,5467,244,855,2127,45,2196,18006,1274,6.5
"182",8115,"8115y2013",NA,1319,319,423,10,65,1513,4244,167,819,1995,0,1263,7522,587,4.2
"183",8116,"8116y2013",NA,1521,499,644,16,103,2120,5578,218,1140,2471,36,1713,9970,857,4
"184",8117,"8117y2013",NA,780,214,316,6,75,1197,2888,134,552,1471,11,720,5667,597,4.8
"185",8118,"8118y2013",NA,1709,412,577,10,123,2226,5555,263,881,2784,7,1620,10991,1058,4.3
"186",8119,"8119y2013",NA,1577,420,541,12,94,1718,4599,238,793,2359,27,1182,8779,666,4.4
"187",8121,"8121y2013",NA,619,221,297,4,63,536,1728,63,403,782,0,480,4248,383,7.4
"188",8125,"8125y2013",NA,674,206,273,4,39,1533,3603,146,822,1838,0,797,7005,686,4.3
"189",8126,"8126y2013",NA,271,100,121,1,11,517,1333,57,344,648,0,284,1894,181,3.4
"190",8127,"8127y2013",NA,522,152,211,3,43,961,2390,107,554,1175,7,547,3567,398,3.8
"191",8128,"8128y2013",NA,278,56,87,2,18,544,1710,69,407,859,0,375,2661,275,4.1
"192",8135,"8135y2013",NA,352,150,191,1,28,527,1583,67,386,728,0,402,3565,313,5.8
"193",8136,"8136y2013",NA,849,297,395,5,68,1303,4090,160,868,1958,18,1086,6103,569,4.1
"194",8211,"8211y2013",NA,214,86,118,7,22,347,627,31,134,176,0,286,1491,101,6.3
"195",8212,"8212y2013",NA,1413,685,940,9,226,1441,2595,154,293,1057,17,1074,8556,661,6.2
