"","district","district_year","districtName","bodily.harm","dangerous.bodily.harm","violent.crime","murder.and.manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","CrimeRate","Pop_0_17","Pop_18_24","Pop_25_44","Pop_45_64","Pop_over_65"
"1",2,"2y2013","Hamburg",14703,5406,8665,56,3046,6746,13874,697,1425,3625,61,8066,71557,5468,8.6,755.3,1746342,847783,898559,2312,174.421734116227,15.9,7.9,30.8,26.6,18.8
"2",11,"11y2013","Berlin",28924,10340,17275,106,6222,12963,29211,2115,5100,9825,0,12171,210083,19108,13.9,891.68,3421829,1669853,1751976,3838,181.832581347578,15.3,7.7,30.2,27.8,19.1
"3",1001,"1001y2013","Flensburg",651,223,329,0,97,493,1282,97,226,373,41,545,5205,642,12.3,56.74,83971,41322,42649,1480,115.51607102452,14.8,11.3,26.1,27.1,20.6
"4",1002,"1002y2013","Kiel",1948,640,937,5,258,995,2186,168,399,645,68,906,13070,1251,11.4,118.65,241533,116951,124582,2036,106.817701928929,14.1,11.5,30.4,25.7,18.3
"5",1003,"1003y2013","Lübeck",1926,658,948,3,255,1002,2100,180,549,667,60,644,11109,1212,11.6,214.21,212958,101734,111224,994,119.741920942158,14.8,8.3,25.6,28.2,23.1
"6",1004,"1004y2013","Neumünster",860,226,318,1,75,339,1087,96,173,386,33,399,4458,557,12.5,71.63,77058,37606,39452,1076,97.3292844351008,16.5,8.4,23.3,29.3,22.5
"7",1051,"1051y2013","Dithmarschen",596,126,194,0,58,724,1553,133,357,687,21,355,5003,645,8.6,1428.11,132665,65124,67541,93,43.7191422002789,16.9,7.6,21.2,30.8,23.5
"8",1053,"1053y2013","Herzogtum Lauenburg",813,222,307,3,66,837,1809,155,393,702,52,507,6191,747,7,1263.01,189043,92291,96752,150,34.9126918214374,17.4,6.9,22.6,31.1,22
"9",1054,"1054y2013","Nordfriesland",874,215,288,3,54,2076,1979,142,461,907,27,442,5868,577,7.3,2082.76,161923,78853,83070,78,33.3491844889237,16.7,7.7,21.6,30.8,23.1
"10",1055,"1055y2013","Ostholstein",904,245,324,6,52,1428,2148,186,488,848,51,575,6489,697,7.3,1392.65,197835,95235,102600,142,26.2845300376576,15.1,6.5,20.4,31.8,26.2
"11",1056,"1056y2013","Pinneberg",1551,433,592,6,127,1855,3316,215,598,1243,100,1160,8815,878,6.1,664.28,301223,146892,154331,453,42.1614551345681,17.1,7,23.4,30.7,21.9
"12",1057,"1057y2013","Plön",514,123,152,0,20,743,1151,93,247,525,20,266,3582,372,6.4,1083.18,126643,61181,65462,117,15.7924243740278,16.4,6.6,20.1,32,24.9
"13",1058,"1058y2013","Rendsburg-Eckernförde",1100,338,459,4,78,1292,2717,220,660,1052,64,721,7687,926,6.4,2186.26,268075,131328,136747,123,29.0963349808822,17.6,7,21.5,31.6,22.3
"14",1059,"1059y2013","Schleswig-Flensburg",704,167,228,6,36,1128,1935,165,473,821,14,462,7878,948,8.6,2071.35,195135,96268,98867,94,18.4487662387578,17.6,7.3,21.3,31.2,22.6
"15",1060,"1060y2013","Segeberg",1026,249,388,4,105,1098,2729,196,589,1102,59,783,7171,695,5.7,1344.38,263202,129249,133953,196,39.8933138805936,17.2,6.9,23.7,31,21.1
"16",1061,"1061y2013","Steinburg",550,139,227,1,69,566,1348,95,345,526,19,363,4156,527,6.9,1056.12,130017,63915,66102,123,53.0699831560488,16.9,7.5,21.6,32.1,21.9
"17",1062,"1062y2013","Stormarn",831,204,297,5,70,1285,2204,96,287,758,65,998,5067,493,4.7,766.33,234674,114044,120630,306,29.8286133103795,17.4,6.4,22.7,31,22.5
"18",3101,"3101y2013","Braunschweig",1772,750,997,10,202,1147,2578,151,274,875,85,1193,9301,632,7.8,192.17,247227,121376,125851,1287,81.7062861257063,14.5,9.1,28.9,26.8,20.7
"19",3102,"3102y2013","Salzgitter",466,171,227,3,41,334,1114,37,185,649,15,228,4680,451,10.4,223.92,98197,47873,50324,439,41.7528030387894,16.3,7.8,22.1,29.9,23.9
"20",3103,"3103y2013","Wolfsburg",577,162,255,7,73,663,1519,61,169,649,61,579,3153,306,5.4,204.06,122457,60349,62108,600,59.6127620307537,15.2,7.8,26.5,28,22.5
"21",3151,"3151y2013","Gifhorn",686,219,285,4,42,698,1722,81,208,969,20,444,4698,521,5.7,1562.83,171475,85335,86140,110,24.4933663799388,18.3,7.6,23.2,32.3,18.7
"22",3152,"3152y2013","Göttingen",1349,454,592,8,109,1000,2485,106,256,926,163,1034,8725,679,7.5,1117.24,248249,121071,127178,222,43.9075283284122,15.3,9.9,25.7,29,20.1
"23",3153,"3153y2013","Goslar",739,242,340,5,70,731,1376,80,185,716,20,375,5995,495,9.9,965.29,137833,67603,70230,143,50.7860962178869,13.7,7.7,21.2,30.6,26.8
"24",3154,"3154y2013","Helmstedt",385,152,187,2,22,356,901,54,114,429,21,283,3532,344,8.3,674,90423,44586,45837,134,24.3300930073101,15.2,7.2,22,32.5,23.1
"25",3155,"3155y2013","Northeim",540,184,238,3,39,624,1482,64,214,687,21,496,5078,503,8.1,1267.06,134661,65926,68735,106,28.9616147214115,15.5,6.9,20.9,32.4,24.2
"26",3156,"3156y2013","Osterode am Harz",291,84,113,1,19,311,703,27,115,380,10,171,2954,275,8.7,636.02,74367,36275,38092,117,25.5489666115347,14.4,6.3,19.6,32.3,27.4
"27",3157,"3157y2013","Peine",397,152,187,5,18,512,1396,59,167,686,44,440,4153,431,6.7,534.93,130147,64003,66144,243,13.8305147256564,17.7,7.1,22.7,31.4,21
"28",3158,"3158y2013","Wolfenbüttel",366,116,158,6,24,590,1126,45,122,604,11,344,3791,349,6.9,722.55,119900,58993,60907,166,20.0166805671393,16.2,7.3,21.5,32,22.9
"29",3241,"3241y2013","Region Hannover",7429,2719,3701,31,801,4833,11202,544,1396,4613,291,4358,48239,4589,9.1,2290.77,1119526,543339,576187,489,71.5481373366943,16.1,7.8,26.1,29,21
"30",3251,"3251y2013","Diepholz",775,231,354,8,90,924,2361,83,313,1252,51,662,5240,623,5.1,1987.94,209955,104085,105870,106,42.8663284989641,17,7.2,22.2,32,21.5
"31",3252,"3252y2013","Hameln-Pyrmont",714,293,371,8,53,687,1568,112,255,732,19,450,6206,709,9.1,796.14,147755,70939,76816,186,35.8701905180874,15.6,7.2,21,31.3,24.8
"32",3254,"3254y2013","Hildesheim",1393,434,579,7,104,1138,3191,181,415,1440,57,1098,10920,1118,8.5,1205.95,274519,132832,141687,228,37.8844451568015,16,8.2,22.5,30.8,22.5
"33",3255,"3255y2013","Holzminden",291,111,136,3,17,297,692,50,122,381,8,131,2970,307,9.3,692.58,71877,35354,36523,104,23.6515157839086,15.6,7.6,20.6,31.2,25
"34",3256,"3256y2013","Nienburg (Weser)",388,143,230,9,65,540,1570,78,228,733,126,405,3951,447,6.9,1398.97,119848,59209,60639,86,54.2353647954075,17.1,7.7,22.1,31.8,21.3
"35",3257,"3257y2013","Schaumburg",534,189,272,3,65,708,1675,62,186,731,58,638,5509,612,7.7,675.57,155599,75626,79973,230,41.7740473910501,16.1,7.1,21.3,31.8,23.7
"36",3351,"3351y2013","Celle",919,312,423,13,69,898,1984,114,358,1034,21,457,6621,743,8.3,1545.18,175552,85778,89774,114,39.3045935107546,17.3,7.4,22.3,30.6,22.5
"37",3352,"3352y2013","Cuxhaven",744,330,449,5,92,1211,1997,143,305,1104,14,431,6133,662,6.9,2057.77,196607,96090,100517,96,46.7938577975352,16.7,6.8,21.2,31.6,23.8
"38",3353,"3353y2013","Harburg",879,238,355,9,84,1148,2543,73,284,1335,17,834,6233,627,5.4,1244.97,242871,118324,124547,195,34.5862618427066,17.7,6.7,22.3,31.8,21.5
"39",3354,"3354y2013","Lüchow-Dannenberg",170,63,85,3,12,212,528,28,95,264,8,133,2353,229,12,1220.65,48670,23949,24721,40,24.6558454900349,15.4,6.5,19.7,31.9,26.4
"40",3355,"3355y2013","Lüneburg",1018,331,440,3,92,1055,1910,76,229,880,55,670,5990,549,7.2,1323.5,176727,85766,90961,134,52.057693504671,17.8,8.2,25.2,29.9,19
"41",3356,"3356y2013","Osterholz",392,153,218,5,50,533,1253,75,210,577,11,380,2621,319,5,650.79,110882,54355,56527,170,45.0929817283238,16.9,6.8,21.7,32.5,22.1
"42",3357,"3357y2013","Rotenburg (Wümme)",848,347,472,12,82,685,2002,95,279,1080,30,518,3888,438,5,2070.3,161308,80823,80485,78,50.8344285466313,18.1,8,23.2,31,19.7
"43",3358,"3358y2013","Landkreis Heidekreis",828,268,353,8,51,592,1689,128,290,815,30,426,4927,616,7.5,1873.67,136251,67473,68778,73,37.430917938217,17.2,7.8,22.5,30.8,21.8
"44",3359,"3359y2013","Stade",710,231,367,6,112,1082,2206,112,310,1157,40,587,6509,760,6.8,1266.02,196516,97880,98636,155,56.9928148344155,17.8,7.7,23.8,30.5,20.2
"45",3360,"3360y2013","Uelzen",312,96,145,2,35,390,1050,35,141,563,40,271,3197,355,7.8,1454.14,92356,44952,47404,64,37.8968339902118,16,7.2,21.1,31.5,24.3
"46",3361,"3361y2013","Verden",544,171,260,9,53,640,1537,74,183,819,9,452,4006,311,6.2,787.95,132459,64637,67822,168,40.0123811896511,17.8,7.3,22.6,31.4,20.8
"47",3401,"3401y2013","Delmenhorst",428,156,248,0,82,304,868,59,163,398,20,228,4207,425,11.9,62.36,74052,36407,37645,1187,110.732998433533,16.5,8.2,23.4,29.8,22.1
"48",3402,"3402y2013","Emden",380,153,195,0,32,228,567,53,65,278,8,163,2335,276,10,112.35,49790,24477,25313,443,64.2699337216308,16.7,9.8,24.9,28.1,20.5
"49",3403,"3403y2013","Oldenburg (Oldenburg)",807,279,439,5,134,839,1906,114,206,685,76,825,7144,807,9.1,102.99,159610,75754,83856,1550,83.9546394336194,15.4,9.3,28.6,28.1,18.7
"50",3404,"3404y2013","Osnabrück",1032,556,816,5,219,652,2114,98,166,871,86,893,6606,633,8.6,119.8,156315,74822,81493,1305,140.101717685443,14.7,10.3,29,26.5,19.5
"51",3405,"3405y2013","Wilhelmshaven",617,275,369,3,72,366,827,47,138,347,15,280,4633,484,13.7,106.91,75728,36936,38792,708,95.0771181069089,13.8,9.7,21.5,29.2,25.9
"52",3451,"3451y2013","Ammerland",323,100,140,4,25,587,1351,36,229,727,28,331,2813,242,5,728.36,118865,58158,60707,163,21.032263492197,17.8,7.3,22.3,31.1,21.5
"53",3452,"3452y2013","Aurich",979,390,467,3,56,1664,2436,200,396,1240,92,508,7713,832,8.8,1287.31,187058,91632,95426,145,29.9372387174032,17.8,7.7,22.4,30.9,21.2
"54",3453,"3453y2013","Cloppenburg",684,193,249,0,38,717,2185,104,454,1249,16,362,4871,602,6.3,1418.4,160176,80598,79578,113,23.7239037059235,21.3,9.1,25.2,28.6,15.8
"55",3454,"3454y2013","Emsland",1434,509,647,7,100,1410,3981,186,620,2192,29,954,6207,790,4.1,2882.04,313689,158523,155166,109,31.8787078922117,18.8,8.6,25.1,29.6,17.9
"56",3455,"3455y2013","Friesland",523,144,189,5,30,793,1070,38,190,618,10,214,3004,286,6.8,607.9,97093,47212,49881,160,30.8982109935835,16.5,7.2,20.3,31.5,24.4
"57",3456,"3456y2013","Grafschaft Bentheim",469,171,225,2,45,645,1705,117,269,892,70,357,3192,324,5,980.86,133678,66473,67205,136,33.6629811936145,18.9,8.1,23.4,30.2,19.4
"58",3457,"3457y2013","Leer",635,193,263,3,52,946,1870,140,402,959,22,347,5385,658,7.2,1086.02,164792,81696,83096,152,31.5549298509636,18.2,8,23.7,29.9,20.2
"59",3458,"3458y2013","Oldenburg",432,141,177,3,26,582,1199,51,216,772,13,147,3247,329,5.3,1063.12,125778,62342,63436,118,20.6713415700679,17.9,7.2,22.3,32.5,20.1
"60",3459,"3459y2013","Osnabrück",902,291,455,7,118,1622,3466,143,484,2056,63,720,7776,722,4.5,2121.59,350302,172950,177352,165,33.6852201814434,18.6,8.1,23.2,30.7,19.4
"61",3460,"3460y2013","Vechta",494,224,312,5,69,615,1783,81,228,934,34,506,3076,393,4.3,812.59,134188,67362,66826,165,51.4203952663427,20.6,9.6,26,28.6,15.3
"62",3461,"3461y2013","Wesermarsch",342,132,177,3,31,362,1068,44,166,573,11,274,3490,418,8.5,821.9,88831,44181,44650,108,34.8977271448031,17,7.9,21.1,31.7,22.2
"63",3462,"3462y2013","Wittmund",246,79,97,1,8,534,704,33,132,334,14,191,1934,209,7.7,656.66,56400,27490,28910,86,14.1843971631206,17.4,7.5,21.6,31,22.4
"64",4011,"4011y2013","Bremen",3979,1529,2639,14,1018,2148,5770,352,1192,2060,0,2166,28878,2603,11.5,325.42,548547,267621,280926,1686,185.581180828625,14.9,8.8,27.2,28,21.1
"65",4012,"4012y2013","Bremerhaven",981,334,588,7,223,471,1563,97,300,560,0,606,8319,834,16.3,93.82,108844,53611,55233,1160,204.880379258388,16.2,8.3,24.2,29,22.2
"66",5111,"5111y2013","Düsseldorf",3894,1463,2609,12,1023,2864,6837,342,813,2166,0,3516,27715,1596,9.8,217.41,598686,288114,310572,2754,170.87421452982,15.2,7.2,30.3,27.5,19.8
"67",5112,"5112y2013","Duisburg",2835,1160,1879,22,638,1727,6065,343,967,2055,1,2699,31555,2986,14.3,232.8,486855,237743,249112,2091,131.04517772232,16.5,8.4,25.2,29,20.9
"68",5113,"5113y2013","Essen",2595,1136,1924,11,699,2229,7537,437,859,2388,1,3852,35896,3445,13.6,210.34,569884,273982,295902,2709,122.656540629321,15.2,8.2,25.7,29.2,21.8
"69",5114,"5114y2013","Krefeld",1562,460,733,2,239,973,3479,196,584,1164,0,1535,12800,1029,12.5,137.78,222058,107084,114974,1612,107.629538228751,16.3,7.6,23.8,30.4,21.8
"70",5116,"5116y2013","Mönchengladbach",1269,575,853,8,234,916,3913,277,758,1098,0,1780,15053,1650,12.7,170.45,255430,124452,130978,1499,91.6102258935912,16,8.4,24.3,30.5,20.8
"71",5117,"5117y2013","Mülheim an der Ruhr",599,242,389,4,126,966,2140,72,218,678,0,1172,6336,275,8.3,91.28,166640,79425,87215,1826,75.6120979356697,15.2,7,23,30.8,24
"72",5119,"5119y2013","Oberhausen",1181,370,581,4,187,935,2599,121,448,869,3,1158,13194,1377,13.6,77.1,209097,101827,107270,2712,89.4321774104841,15.4,7.8,24.2,31.3,21.3
"73",5120,"5120y2013","Remscheid",661,173,249,1,66,419,1706,48,291,613,0,754,5420,563,10.3,74.52,108955,53172,55783,1462,60.575466935891,16,7.7,23,31,22.2
"74",5122,"5122y2013","Solingen",725,248,368,3,108,703,2050,91,307,657,0,995,7398,791,9.9,89.54,155768,74822,80946,1740,69.3338811565919,16.9,7.8,23.4,30.4,21.5
"75",5124,"5124y2013","Wuppertal",2470,650,1152,6,451,1614,4637,225,695,1547,4,2166,21122,2188,13.1,168.39,343488,166113,177375,2040,131.300074529532,16.1,8.3,24.8,29.3,21.4
"76",5154,"5154y2013","Kleve",1097,345,515,6,148,1441,4265,234,646,1691,0,1694,10171,1169,7.2,1232.99,302698,149466,153232,245,48.8936167401172,17.3,8.1,23.3,31.8,19.5
"77",5158,"5158y2013","Mettmann",2037,687,945,10,219,1990,6445,285,883,2481,0,2796,18023,1486,7.9,407.22,476633,229018,247615,1170,45.9473011730199,16.2,6.8,22,31.5,23.5
"78",5162,"5162y2013","Rhein-Kreis Neuss",1657,478,748,2,224,2077,6502,222,770,2225,0,3285,14622,1239,7.1,576.52,440602,213436,227166,764,50.8395331841435,17,7,23.5,31.3,21.2
"79",5166,"5166y2013","Viersen",943,287,425,6,114,1329,4794,208,559,1670,2,2355,11316,1198,8,563.28,294921,143168,151753,524,38.6544193190719,16.6,7.6,22.2,32.7,20.8
"80",5170,"5170y2013","Wesel",2085,672,980,2,286,2201,6606,283,900,2402,0,3021,17582,1814,8.2,1042.8,457033,221795,235238,438,62.5775381646402,15.8,7.5,22.2,32.8,21.7
"81",5314,"5314y2013","Bonn",1749,679,1185,0,457,1449,5448,153,528,1668,5,3094,11368,898,7.8,141.06,311287,147304,163983,2207,146.80985714148,16.8,9.4,29,26.6,18.2
"82",5315,"5315y2013","Köln",8615,3488,5574,35,1851,5190,11805,504,1736,3922,6,5637,52124,3718,10.6,405.01,1034175,501577,532598,2553,178.983247516136,15.7,8.5,31.5,26.7,17.6
"83",5316,"5316y2013","Leverkusen",967,371,552,4,161,611,2350,135,256,767,0,1192,6860,779,9.3,78.87,160819,77865,82954,2039,100.112548890367,16.7,7.4,24.3,29.7,21.9
"84",5334,"5334y2013","Aachen",2987,1321,2058,20,649,2580,7422,273,977,2338,0,3834,25069,2338,9.8,706.95,545067,272493,272574,771,119.067931098379,15.8,10.5,25.7,28.3,19.7
"85",5358,"5358y2013","Düren",1297,443,665,7,189,1177,3857,146,568,1419,0,1724,10793,1292,8.8,941.37,258385,127307,131078,274,73.1466609903826,17,8.1,22.9,31.7,20.2
"86",5362,"5362y2013","Rhein-Erft-Kreis",2166,643,1052,13,340,2112,6171,212,804,2232,0,2923,18403,1851,8.6,704.62,456602,222057,234545,648,74.4630991541868,17.1,7.6,23.6,31.3,20.4
"87",5366,"5366y2013","Euskirchen",649,254,345,2,81,868,3158,102,464,1138,0,1454,6192,744,6.8,1248.73,187437,92289,95148,150,43.2145200787465,17.1,7.6,22.2,32.8,20.3
"88",5370,"5370y2013","Heinsberg",1095,344,503,5,125,1238,3834,164,518,1416,0,1736,9443,1194,8.1,627.99,248233,122114,126119,395,50.3559156115424,17.4,8,22.9,32,19.6
"89",5374,"5374y2013","Oberbergischer Kreis",964,328,464,6,101,1310,4516,167,568,1795,0,1986,8750,1005,6.7,918.85,270290,132055,138235,294,37.3672721891302,17.9,8,22.6,31,20.5
"90",5378,"5378y2013","Rheinisch-Bergischer Kreis",904,248,360,1,90,1369,3791,101,402,1337,0,1951,9205,803,7.2,437.32,278440,134690,143750,637,32.3229421060192,17.1,7.1,21.4,31.9,22.5
"91",5382,"5382y2013","Rhein-Sieg-Kreis",1752,662,1036,10,313,2790,8222,373,988,2751,2,4108,17986,2083,6.6,1153.2,582280,283675,298605,505,53.7542075977193,17.8,7.7,22.9,31.4,20.3
"92",5512,"5512y2013","Bottrop",471,190,273,4,71,520,1399,63,180,486,0,670,5277,646,9.9,100.61,116055,56061,59994,1154,61.1778897936323,15.7,7.6,23.7,31.8,21.2
"93",5513,"5513y2013","Gelsenkirchen",1737,613,1025,8,376,1180,3733,316,732,1309,0,1376,17946,1810,16,104.94,257850,126979,130871,2457,145.821213884041,16.4,8.4,25,29.6,20.7
"94",5515,"5515y2013","Münster",1587,559,833,1,243,1495,4446,165,417,1211,25,2628,9257,850,6.5,303.28,299708,143029,156679,988,81.078916812364,14.8,12.3,30.6,25.6,16.7
"95",5554,"5554y2013","Borken",1453,395,563,3,142,1975,6273,252,838,2755,0,2428,8725,990,4.8,1420.98,364271,181075,183196,256,38.9819667225774,19.3,8.8,24,30.2,17.7
"96",5558,"5558y2013","Coesfeld",786,204,295,1,74,1466,3477,93,414,1428,0,1542,3945,493,3.7,1112.04,215282,105691,109591,194,34.3735193838779,18.3,8,22.5,32.4,18.9
"97",5562,"5562y2013","Recklinghausen",2858,966,1505,11,452,2498,8622,440,1229,3280,0,3673,35158,3430,12.2,760.45,613878,298151,315727,807,73.6302652970134,15.9,7.5,23,31.8,21.7
"98",5566,"5566y2013","Steinfurt",1572,429,598,1,141,1928,7323,257,1119,2894,0,3053,11609,1512,5.4,1795.76,434481,214563,219918,242,32.4525123077879,18.7,8.4,23.2,30.8,18.9
"99",5570,"5570y2013","Warendorf",939,229,335,2,78,1124,4429,130,596,1784,0,1919,8821,960,6.6,1319.41,272623,133849,138774,207,28.6109389156454,18.3,7.8,23,30.9,20
"100",5711,"5711y2013","Bielefeld",1648,474,724,3,200,1305,5124,219,618,1844,7,2436,15533,1704,10.4,258.82,328864,158461,170403,1271,60.8154130582855,16.8,9.2,27.1,26.9,20
"101",5754,"5754y2013","Gütersloh",1068,364,533,8,139,1590,5683,193,763,2228,0,2499,10273,1162,5.9,969.21,352334,174654,177680,364,39.4512025521238,18.5,8.2,24.5,30.1,18.8
"102",5758,"5758y2013","Herford",823,241,382,5,115,1104,4044,159,394,1526,0,1965,8315,935,7,450.41,248988,121285,127703,553,46.1869648336466,17.1,7.7,23.1,30.5,21.6
"103",5762,"5762y2013","Höxter",561,185,218,2,24,616,2856,112,307,1060,0,1377,3944,470,5.9,1201.42,142788,70709,72079,119,16.8081351374065,17.5,8,22.1,31.2,21.1
"104",5766,"5766y2013","Lippe",828,408,574,10,124,1585,5241,202,746,2126,0,2167,13725,1555,8.5,1246.21,345374,167812,177562,277,35.9031079351659,17.9,8,22.2,30.2,21.8
"105",5770,"5770y2013","Minden-Lübbecke",810,302,470,7,138,1266,5282,202,646,1981,1,2452,9385,1079,6.4,1152.41,309356,151399,157957,268,44.6088002172255,17.7,7.9,22.6,30.6,21.2
"106",5774,"5774y2013","Paderborn",1086,412,566,3,120,1459,4770,139,772,1930,5,1924,10087,1125,6.9,1246.8,296688,147341,149347,238,40.4465296877528,18.3,9.4,26.3,29.1,17
"107",5911,"5911y2013","Bochum",2466,872,1337,9,417,1387,4819,191,656,1741,4,2227,19112,1696,11.4,145.66,361734,174396,187338,2483,115.278077261192,14.2,8.6,26.1,29.3,21.8
"108",5913,"5913y2013","Dortmund",3975,1935,3257,19,1221,2183,7321,460,1044,2605,8,3204,38511,3659,14.6,280.71,575944,281116,294828,2052,211.999777756171,15.6,8.7,26.7,28.6,20.4
"109",5914,"5914y2013","Hagen",1010,320,553,2,212,743,2871,106,398,1066,1,1300,10154,1104,11.8,160.35,185996,89907,96089,1160,113.980945826792,16,7.9,23.4,30.1,22.6
"110",5915,"5915y2013","Hamm",793,297,455,4,120,786,2741,152,472,1137,0,980,9416,891,11.5,226.43,176048,85813,90235,777,68.1632282104881,17.5,8.4,24.6,29.2,20.4
"111",5916,"5916y2013","Herne",1015,246,409,3,146,650,2127,125,326,754,0,922,10510,975,15.2,51.42,154417,74675,79742,3003,94.5491752851046,15.8,8,24.3,29.9,22
"112",5954,"5954y2013","Ennepe-Ruhr-Kreis",1328,395,589,4,173,1816,4269,184,481,1564,0,2040,12779,976,8.3,408.44,322731,155738,166993,790,53.6050147026471,15.1,7.4,22.3,32.2,23
"113",5958,"5958y2013","Hochsauerlandkreis",949,232,358,9,89,1159,4254,162,603,1681,0,1808,7497,753,5.8,1960.17,261999,129615,132384,134,33.9695953037989,17.1,7.9,22.6,31.2,21.2
"114",5962,"5962y2013","Märkischer Kreis",2117,583,875,14,234,1901,6072,384,872,2305,0,2511,15864,1604,7.9,1061.06,416240,203569,212671,392,56.2175667883913,16.9,7.9,22.9,31.2,21.1
"115",5966,"5966y2013","Olpe",560,170,209,1,33,697,2308,126,347,806,0,1029,3653,405,5.3,712.14,134947,67266,67681,189,24.4540449213395,17.8,8.1,23.9,31.1,19
"116",5970,"5970y2013","Siegen-Wittgenstein",1112,381,483,1,81,1303,4709,153,556,1806,24,2170,8678,1095,6.4,1132.89,274904,135077,139827,243,29.4648313593109,16.3,8.8,23.7,30.4,20.8
"117",5974,"5974y2013","Soest",1245,372,521,4,118,1427,4842,174,584,1783,1,2300,10355,967,7.1,1328.64,294971,144777,150194,222,40.0039325899834,17.4,7.7,23.2,31.2,20.4
"118",5978,"5978y2013","Unna",1676,556,872,5,272,1654,6056,317,831,2030,0,2878,19835,1728,10.7,543.21,391622,189556,202066,721,69.4547293052995,16.3,7.6,22.6,31.9,21.6
"119",6411,"6411y2013","Darmstadt",574,315,438,1,109,733,2397,56,191,711,57,1382,5072,483,7.4,122.09,149743,75275,74468,1226,72.7913825688012,15.7,10.8,30.4,25.5,17.7
"120",6412,"6412y2013","Frankfurt am Main",3914,2176,3315,34,1016,2807,6153,299,768,2526,64,2496,26233,1950,8.3,248.31,701350,344952,356398,2824,144.863477578955,15.9,7.7,34.3,26.1,16
"121",6413,"6413y2013","Offenbach am Main",568,314,558,8,210,414,1506,94,309,519,23,561,6899,530,12.5,44.89,119203,58963,60240,2655,176.170062833989,18,8.5,29.2,26.6,17.6
"122",6414,"6414y2013","Wiesbaden",1635,792,1062,13,222,1444,3110,180,382,1273,40,1235,10773,1198,8.3,203.92,273871,130760,143111,1343,81.0600611236677,17.2,7.5,27.9,27.8,19.6
"123",6431,"6431y2013","Bergstraße",537,228,324,10,79,1232,3408,87,417,1336,27,1541,6250,364,5.1,719.52,262322,128647,133675,365,30.1156593804561,16,7.4,23.1,32.3,21.2
"124",6432,"6432y2013","Darmstadt-Dieburg",583,236,308,7,56,1343,3063,151,527,1369,0,1016,7652,787,5.6,658.65,285407,140871,144536,433,19.6211024957342,17,7.6,24,31.7,19.7
"125",6433,"6433y2013","Groß-Gerau",454,202,289,5,67,967,2897,134,516,1374,0,873,8311,872,6.8,453.05,257301,127204,130097,568,26.0395412376944,17.4,7.8,26.3,29.4,19.1
"126",6434,"6434y2013","Hochtaunuskreis",600,213,309,9,69,1172,2774,87,375,1024,0,1288,4555,324,4.6,482.02,229167,110265,118902,475,30.1090471141133,17.8,6.3,23.1,30.5,22.2
"127",6435,"6435y2013","Main-Kinzig-Kreis",908,350,582,16,175,2180,5061,206,881,2269,0,1705,10988,1202,5.8,1397.55,404995,198091,206904,290,43.2104100050618,16.6,7.5,24.3,30.9,20.6
"128",6436,"6436y2013","Main-Taunus-Kreis",621,275,356,3,64,766,2611,77,345,1027,0,1162,5400,460,5,222.39,228021,110818,117203,1025,28.0675902658088,17.7,6.4,25,30.1,20.8
"129",6437,"6437y2013","Odenwaldkreis",193,76,102,0,22,423,1311,41,209,595,0,466,2990,360,6.6,623.98,96201,47380,48821,154,22.8687851477635,16.1,8,22.3,31.8,21.7
"130",6438,"6438y2013","Offenbach",831,375,582,6,175,1191,3884,134,567,1478,92,1613,9964,937,6.2,356.3,338300,165651,172649,949,51.7292344073308,16.8,7.1,25.2,30.2,20.6
