"","district","district_year","districtName","bodily.harm","dangerous.bodily.harm","violent.crime","murder.and.manslaughter","robbery","HusbandAndWifeTotal","GraduatesTotal","GraduatesWithHouthDegreeTotal","GraduatesWithHauptschulDegreeTotal","GraduatesWithRealschulDegreeTotal","GraduatesWithFachhochschulDegreeTotal","GraduatesWithHochschulreifeDegreeTotal","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage","TotalArea","TotalPopulation","MalePopulation","FemalePopulation","DensityPerSQRTkm","CrimeRate","Pop_0_17","Pop_18_24","Pop_25_44","Pop_45_64","Pop_over_65"
"131",6439,"6439y2013","Rheingau-Taunus-Kreis",420,149,203,3,35,1030,2034,99,261,836,0,838,4142,303,4.9,811.48,181190,88594,92596,223,19.3167393344004,16.5,7,22.4,32.3,21.8
"132",6440,"6440y2013","Wetteraukreis",786,292,408,15,89,1294,4110,178,543,1486,0,1903,8225,865,6,1100.73,295408,145084,150324,268,30.1278232139956,17,7.5,23.9,31.3,20.2
"133",6531,"6531y2013","Gießen",880,350,512,22,111,1054,3642,133,396,1520,28,1565,9457,971,7.9,854.64,253820,124134,129686,297,43.731778425656,15.6,10.3,26.2,29,18.9
"134",6532,"6532y2013","Lahn-Dill-Kreis",584,216,320,25,62,1116,3040,122,602,1421,38,857,8330,905,6.9,1066.52,251327,123096,128231,236,24.669056647316,16.7,8.1,23.3,30.9,21.1
"135",6533,"6533y2013","Limburg-Weilburg",464,212,280,11,39,764,2608,93,497,999,10,1009,5222,557,6.6,738.48,169964,83781,86183,230,22.9460356310748,17.1,7.7,23.4,31.6,20.1
"136",6534,"6534y2013","Marburg-Biedenkopf",835,251,371,11,83,1090,2925,120,400,1245,3,1157,5928,655,5.2,1262.55,241656,117854,123802,191,34.3463435627504,16.2,10.8,25.5,28.7,18.9
"137",6535,"6535y2013","Vogelsbergkreis",275,91,119,5,15,470,1170,46,209,572,0,343,2661,310,5.2,1458.99,106383,52712,53671,73,14.0999971800006,15.3,7.3,21.7,32.9,22.8
"138",6611,"6611y2013","Kassel",936,483,769,16,246,882,2551,168,316,913,30,1124,9947,1153,11.3,106.78,194087,93967,100120,1818,126.747283434748,15.3,9.9,28.1,27,19.7
"139",6631,"6631y2013","Fulda",622,249,342,7,74,992,3176,105,590,1434,0,1047,4138,446,4,1380.39,216314,106118,110196,157,34.2095287406271,17.5,8.5,24,29.8,20.2
"140",6632,"6632y2013","Hersfeld-Rotenburg",391,136,207,7,59,484,1410,50,285,713,33,329,3211,380,5.8,1097.13,119651,59158,60493,109,49.3100768067129,15.8,7.1,22.5,31.3,23.3
"141",6633,"6633y2013","Kassel",407,198,256,3,44,1056,2669,89,428,1285,0,867,6415,697,5.9,1292.92,233352,113798,119554,180,18.8556344063903,15.6,6.9,21.7,32.1,23.7
"142",6634,"6634y2013","Schwalm-Eder-Kreis",413,165,244,8,56,753,2469,129,325,1030,0,985,5042,626,6,1538.49,179429,89142,90287,117,31.2101165363459,15.9,7.5,22.7,32,22
"143",6635,"6635y2013","Waldeck-Frankenberg",412,135,192,3,44,778,1993,97,328,947,0,621,4373,524,5.8,1848.45,156607,77326,79281,85,28.0958067008499,16.5,7.5,22.2,31.8,22
"144",6636,"6636y2013","Werra-Meißner-Kreis",328,95,137,6,25,459,1124,54,232,521,0,317,3429,392,7.7,1024.7,100356,48909,51447,98,24.9113157160509,14.8,7.1,21,32.3,24.8
"145",7111,"7111y2013","Koblenz",1077,343,429,2,77,578,1515,87,254,442,53,679,3708,335,7.2,105.13,110643,53188,57455,1052,69.5931961353181,14.4,9.5,27.1,27.5,21.5
"146",7131,"7131y2013","Ahrweiler",596,211,258,1,35,611,1413,52,239,535,25,562,2913,317,5,786.99,126102,61536,64566,160,27.7553091941444,15.6,7.5,21.1,32.4,23.4
"147",7132,"7132y2013","Altenkirchen (Westerwald)",704,231,270,0,32,569,1677,65,355,752,29,476,3953,469,6.4,642,128373,63240,65133,200,24.9273601146659,16.8,8.2,22.3,31.8,20.9
"148",7133,"7133y2013","Bad Kreuznach",871,270,372,4,79,784,1745,82,363,658,15,627,5829,630,7.9,863.7,155297,75420,79877,180,50.8702679382087,16.4,7.4,22.4,32.3,21.6
"149",7134,"7134y2013","Birkenfeld",393,107,132,2,13,337,792,29,186,351,14,212,2914,331,7.6,776.55,80673,39697,40976,104,16.1144372962453,15.2,7.4,21.4,32.9,23
"150",7135,"7135y2013","Cochem-Zell",301,72,83,2,7,323,529,43,120,273,2,91,1358,163,4.5,719.97,63202,31485,31717,88,11.0755988734534,15.9,7.5,21.3,32.4,22.9
"151",7137,"7137y2013","Mayen-Koblenz",860,286,350,3,47,1163,2112,127,478,1002,18,487,5596,639,5.5,817.26,209785,102901,106884,257,22.4038896965941,16.3,7.6,23.2,32.3,20.6
"152",7138,"7138y2013","Neuwied",811,237,330,4,72,806,2170,188,382,1113,25,462,5540,643,6.6,626.88,179454,87750,91704,286,40.121702497576,17,7.9,21.9,31.8,21.4
"153",7140,"7140y2013","Rhein-Hunsrück-Kreis",276,101,132,0,24,519,1194,53,292,531,11,307,2652,287,5.3,963.39,100770,49780,50990,105,23.8166120869306,16.4,7.6,22.4,32.6,21
"154",7141,"7141y2013","Rhein-Lahn-Kreis",495,139,177,0,24,636,1357,105,241,568,14,429,2779,192,4.8,782.34,121375,59764,61611,155,19.773429454171,15.7,7.4,22.1,32.5,22.3
"155",7143,"7143y2013","Westerwaldkreis",827,202,251,2,29,844,2148,131,497,1050,18,452,4519,479,4.6,988.97,198704,98331,100373,201,14.594572831951,17.2,7.8,23.3,32,19.7
"156",7211,"7211y2013","Trier",893,305,413,1,101,578,1457,67,277,474,31,608,3146,384,6.2,117.13,107233,51782,55451,916,94.1874236475712,13.7,13,29.8,25.7,17.7
"157",7231,"7231y2013","Bernkastel-Wittlich",508,149,186,3,19,557,1272,72,196,669,14,321,2341,297,4.3,1167.59,110643,54811,55832,95,17.1723470983252,16.1,7.6,22.7,32.3,21.2
"158",7232,"7232y2013","Eifelkreis Bitburg-Prüm",284,89,117,0,17,432,1217,47,216,511,19,424,1636,240,3.6,1626.26,96158,47973,48185,59,17.6792362569937,17,8.3,23.1,31.9,19.7
"159",7233,"7233y2013","Vulkaneifel",258,68,80,1,7,288,784,39,134,364,3,244,1562,191,5.3,911.05,60765,30112,30653,67,11.5197893524233,16.3,7.6,21,32.2,22.9
"160",7235,"7235y2013","Trier-Saarburg",406,130,157,1,18,635,1251,92,228,598,9,324,2795,348,3.9,1101.49,144337,70958,73379,131,12.4708148291845,17.1,7.4,23.8,32.5,19.2
"161",7311,"7311y2013","Frankenthal (Pfalz)",357,110,158,0,42,208,679,60,116,232,16,255,1673,176,7.8,43.76,47332,22864,24468,1082,88.7348939406744,16.2,7.8,24.4,29.1,22.4
"162",7312,"7312y2013","Kaiserslautern",1150,457,592,3,122,378,1336,67,192,400,62,615,5409,543,11.8,139.73,97162,48493,48669,695,125.563491900126,14.2,11.7,26.2,28,19.9
"163",7313,"7313y2013","Landau in der Pfalz",329,116,154,0,29,239,880,49,118,315,12,386,1164,120,5.5,82.96,43825,20609,23216,528,66.1722760981175,15,10.9,26,28.9,19.2
"164",7314,"7314y2013","Ludwigshafen am Rhein",1770,560,795,5,202,581,1774,160,418,513,47,636,7591,747,10.2,77.55,161518,79764,81754,2083,125.063460419272,17.2,8.5,26.8,28,19.5
"165",7315,"7315y2013","Mainz",1786,597,754,7,131,803,2345,42,334,717,91,1161,6633,571,6.8,97.74,204268,98529,105739,2090,64.1314351733997,14.3,10.9,32.1,25,17.7
"166",7316,"7316y2013","Neustadt an der Weinstraße",339,172,196,1,18,312,500,35,77,117,6,265,1627,168,6.6,117.1,52400,25308,27092,447,34.3511450381679,15.5,7.2,22.3,31.9,23.1
"167",7317,"7317y2013","Pirmasens",309,122,167,3,38,149,492,33,105,148,7,199,2711,313,14.7,61.37,40101,19242,20859,653,94.7607291588738,14.5,7.6,21.1,31.8,25.1
"168",7318,"7318y2013","Speyer",412,112,149,0,31,434,878,22,109,278,19,450,1688,187,7.1,42.6,49740,23906,25834,1168,62.324085243265,16.5,7.3,23.9,31.2,21
"169",7319,"7319y2013","Worms",573,239,371,0,114,291,878,36,163,348,13,318,3655,474,9.4,108.73,80296,38946,41350,738,141.974693633556,17,8.7,24.8,29.8,19.6
"170",7320,"7320y2013","Zweibrücken",185,53,71,0,17,193,508,26,73,176,14,219,1408,128,8.8,70.64,34084,16676,17408,483,49.8767750264053,15.4,7.9,24,30.5,22.3
"171",7331,"7331y2013","Alzey-Worms",404,131,164,2,24,660,1554,68,279,671,55,481,3167,397,5.2,588.14,125213,62185,63028,213,19.1673388545918,17.4,7.7,23.3,33.6,18.1
"172",7332,"7332y2013","Bad Dürkheim",703,226,283,0,50,771,1049,78,183,459,8,321,2910,300,4.8,594.79,131041,64062,66979,220,38.155996978045,15.7,7,21.2,33.7,22.4
"173",7333,"7333y2013","Donnersbergkreis",303,117,147,0,28,351,1035,61,188,493,20,273,2364,291,6.5,645.49,75192,37059,38133,116,37.2380040429833,17.2,7.5,22.3,33.4,19.6
"174",7334,"7334y2013","Germersheim",636,177,208,1,22,523,1132,45,200,574,4,309,3263,367,5.2,463.35,125434,62243,63191,271,17.539104230113,17,8.4,24.7,31.8,18.2
"175",7335,"7335y2013","Kaiserslautern",423,122,143,0,16,517,1052,66,237,448,20,281,3155,363,6.4,639.88,104117,50998,53119,163,15.3673271415811,16.8,7.8,22.3,32.8,20.2
"176",7336,"7336y2013","Kusel",277,86,100,1,11,353,737,27,161,397,9,143,1927,230,5.6,573.35,71098,35163,35935,124,15.4716025767251,15.3,7.6,21.4,33.9,21.8
"177",7337,"7337y2013","Südliche Weinstraße",431,135,154,0,11,637,1069,52,102,538,13,364,2386,258,4.6,639.83,109026,53691,55335,170,10.089336488544,16,7.5,21.9,33.4,21.2
"178",7338,"7338y2013","Rhein-Pfalz-Kreis",652,156,215,1,39,638,1068,42,245,626,7,148,3036,315,4.1,304.94,149068,72974,76094,489,26.1625566855395,16.1,7,22.5,32.7,21.7
"179",7339,"7339y2013","Mainz-Bingen",883,211,266,4,37,1047,1921,81,313,741,43,743,4786,553,4.8,605.73,203338,99855,103483,336,18.1963036913907,17.3,7.2,23.7,32.8,19
"180",7340,"7340y2013","Südwestpfalz",190,66,83,1,6,478,752,17,213,399,9,114,2560,306,5.4,953.65,96599,47641,48958,101,6.21124442282011,14.6,7.4,20.9,34.1,23
"181",8111,"8111y2013","Stuttgart",4758,1567,2272,19,576,2501,5467,244,855,2127,45,2196,18006,1274,6.5,207.35,604297,298413,305884,2914,95.3173687772734,15.2,8.9,32.5,25,18.4
"182",8115,"8115y2013","Böblingen",1319,319,423,10,65,1513,4244,167,819,1995,0,1263,7522,587,4.2,617.82,370392,182704,187688,600,17.5489751398518,17.9,7.6,25.7,29.1,19.7
"183",8116,"8116y2013","Esslingen",1521,499,644,16,103,2120,5578,218,1140,2471,36,1713,9970,857,4,641.48,512279,252108,260171,799,20.106231174809,17.3,7.9,25.5,29.1,20.2
"184",8117,"8117y2013","Göppingen",780,214,316,6,75,1197,2888,134,552,1471,11,720,5667,597,4.8,642.36,248813,122731,126082,387,30.1431195315357,17,8,23.9,30,21.1
"185",8118,"8118y2013","Ludwigsburg",1709,412,577,10,123,2226,5555,263,881,2784,7,1620,10991,1058,4.3,686.82,521633,257080,264553,759,23.5797965236095,17.6,7.7,26.2,29.1,19.5
"186",8119,"8119y2013","Rems-Murr-Kreis",1577,420,541,12,94,1718,4599,238,793,2359,27,1182,8779,666,4.4,858.14,411025,201855,209170,479,22.8696551304665,17.4,7.7,24.1,30.2,20.5
"187",8121,"8121y2013","Heilbronn",619,221,297,4,63,536,1728,63,403,782,0,480,4248,383,7.4,99.88,118122,58440,59682,1183,53.3346878650886,17.2,8.4,27,26.9,20.4
"188",8125,"8125y2013","Heilbronn",674,206,273,4,39,1533,3603,146,822,1838,0,797,7005,686,4.3,1099.93,326035,161934,164101,296,11.9619059303449,18,8,25,30.5,18.6
"189",8126,"8126y2013","Hohenlohekreis",271,100,121,1,11,517,1333,57,344,648,0,284,1894,181,3.4,776.76,107866,53969,53897,139,10.1978380583316,17.9,8.6,24.6,30.5,18.4
"190",8127,"8127y2013","Schwäbisch Hall",522,152,211,3,43,961,2390,107,554,1175,7,547,3567,398,3.8,1484,187682,93657,94025,126,22.9110942978016,18.1,8.3,24.9,30.6,18.2
"191",8128,"8128y2013","Main-Tauber-Kreis",278,56,87,2,18,544,1710,69,407,859,0,375,2661,275,4.1,1304.41,129857,64015,65842,100,13.8614013876803,16.7,7.9,22.8,31.4,21.3
"192",8135,"8135y2013","Heidenheim",352,150,191,1,28,527,1583,67,386,728,0,402,3565,313,5.8,627.12,127947,63283,64664,204,21.8840613691607,17.2,8,23.4,29.6,21.7
"193",8136,"8136y2013","Ostalbkreis",849,297,395,5,68,1303,4090,160,868,1958,18,1086,6103,569,4.1,1511.57,306933,151882,155051,203,22.1546721923026,18,8.4,24.4,29.6,19.7
"194",8211,"8211y2013","Baden-Baden",214,86,118,7,22,347,627,31,134,176,0,286,1491,101,6.3,140.21,53012,24893,28119,378,41.500037727307,14.3,6.5,22.1,30.7,26.4
"195",8212,"8212y2013","Karlsruhe",1413,685,940,9,226,1441,2595,154,293,1057,17,1074,8556,661,6.2,173.46,299103,150451,148652,1724,75.5592555073002,14.4,10.7,30.2,26.2,18.5
"196",8215,"8215y2013","Karlsruhe",921,310,440,8,91,1860,4749,176,803,2488,0,1282,7555,834,3.6,1084.94,429186,211795,217391,396,21.2029283341022,16.9,7.6,24.2,31.3,20
"197",8216,"8216y2013","Rastatt",669,243,324,6,60,954,2314,134,528,1117,1,534,4559,431,4,738.75,223311,109963,113348,302,26.8683584776388,16.6,7.6,23.4,31.9,20.5
"198",8221,"8221y2013","Heidelberg",711,276,366,3,78,898,1526,24,178,478,3,843,3481,262,5.8,108.83,152113,72422,79691,1398,51.2776685753354,13.7,13.3,33,23.7,16.2
"199",8222,"8222y2013","Mannheim",1474,809,1159,20,279,1221,2918,168,381,1370,26,973,9260,437,6.7,144.96,296690,146345,150345,2047,94.0375476086151,15.2,9.8,29.1,26.9,19
"200",8225,"8225y2013","Neckar-Odenwald-Kreis",356,103,157,2,41,643,1758,85,501,725,0,447,3120,335,4.5,1126.25,141584,70441,71143,126,28.9580743586846,16.9,8.1,22.8,31.9,20.3
"201",8226,"8226y2013","Rhein-Neckar-Kreis",1405,453,584,11,95,2513,4990,229,861,2420,0,1480,12535,1183,5,1061.71,531013,258970,272043,500,17.8903341349458,16.9,7.6,24.2,30.8,20.5
"202",8231,"8231y2013","Pforzheim",775,205,298,3,74,485,1594,79,357,654,9,495,4864,457,8.9,98,117754,57147,60607,1202,62.8428758258743,17,9.1,25.6,27.4,20.8
"203",8235,"8235y2013","Calw",397,76,115,11,15,728,1873,77,398,961,0,437,3489,365,4.7,797.51,151461,75016,76445,190,9.90353952502624,17.8,8.1,22.9,31.1,20
"204",8236,"8236y2013","Enzkreis",366,86,124,2,32,862,1968,85,375,1109,0,399,2876,320,3.1,573.69,192811,95032,97779,336,16.5965634740757,17.5,7.9,23,31.3,20.4
"205",8237,"8237y2013","Freudenstadt",329,136,161,4,14,529,1333,78,317,680,0,258,2664,280,4.5,870.67,114793,56630,58163,132,12.1958656015611,17.8,8.4,23.3,30.8,19.7
"206",8311,"8311y2013","Freiburg im Breisgau",2106,671,870,6,161,1237,2432,127,355,858,15,1077,6659,300,6.7,153.06,220286,103982,116304,1439,73.0868053348828,15.5,12.4,31.3,24.7,16
"207",8315,"8315y2013","Breisgau-Hochschwarzwald",987,245,311,5,48,1151,2667,100,489,1301,0,777,4548,356,3.8,1378.34,250137,122249,127888,181,19.1894841626789,17.8,7.9,22.8,31,20.6
"208",8316,"8316y2013","Emmendingen",566,171,230,1,38,701,1806,105,441,937,0,323,2854,257,3.6,679.88,158177,77608,80569,233,24.0237202627436,17.7,7.7,23.4,31.5,19.6
"209",8317,"8317y2013","Ortenaukreis",1400,369,575,14,151,1937,5271,216,1161,2470,8,1416,8756,747,4.2,1860.78,412678,203550,209128,222,36.5902713495752,17.7,8,23.7,30.8,19.8
"210",8325,"8325y2013","Rottweil",298,106,130,3,21,551,1621,63,388,756,0,414,2498,259,3.7,769.43,135319,66921,68398,176,15.5188850050621,18,8,23.1,30.3,20.6
"211",8326,"8326y2013","Schwarzwald-Baar-Kreis",456,198,269,2,53,863,2589,160,525,1324,8,572,4380,467,4.4,1025.26,205090,100855,104235,200,25.8423131308206,16.8,8.2,23.4,29.9,21.7
"212",8327,"8327y2013","Tuttlingen",454,135,176,3,31,615,1672,77,363,890,0,342,2344,205,3.5,734.35,133198,66204,66994,181,23.273622727068,18.7,8.1,24.7,29.2,19.3
"213",8335,"8335y2013","Konstanz",1111,359,489,13,83,1450,2917,108,719,1308,0,782,6253,559,4.8,817.97,273407,132172,141235,334,30.3576718957452,16.6,9.8,24.2,29,20.5
"214",8336,"8336y2013","Lörrach",1069,275,378,3,76,1000,2624,82,633,1228,23,658,4596,430,4,806.77,221943,108111,113832,275,34.2430263626246,17.8,7.8,24,30.6,19.6
"215",8337,"8337y2013","Waldshut",525,136,191,3,37,736,1942,90,475,946,0,431,2825,288,3.4,1131.15,164265,80674,83591,145,22.5245791860713,18.3,7.9,23.1,30.5,20.3
"216",8415,"8415y2013","Reutlingen",1009,360,447,13,52,1294,3253,160,706,1471,34,882,6009,561,4.5,1092.72,276019,135326,140693,253,18.8392828029954,17.5,8.3,24.4,29.7,20
"217",8416,"8416y2013","Tübingen",721,198,249,5,33,1000,2516,137,455,967,2,955,3874,282,3.8,519.19,216535,105212,111323,417,15.240030480061,17.1,11.6,27.1,28.1,16.1
"218",8417,"8417y2013","Zollernalbkreis",527,213,253,2,26,770,2248,102,496,1214,0,436,4341,450,4.8,917.71,184615,90722,93893,201,14.0833626736722,16.7,8.1,22.9,30.9,21.3
"219",8421,"8421y2013","Ulm",663,256,368,8,88,660,1634,77,255,619,0,683,3214,276,5.6,118.69,119218,58341,60877,1004,73.8143568924156,16,10.2,29.4,25.9,18.6
"220",8425,"8425y2013","Alb-Donau-Kreis",337,110,154,4,25,786,2065,95,498,1093,0,379,3322,376,3.5,1358.67,187892,93867,94025,138,13.3055159346859,18.9,8.4,24.4,29.9,18.5
"221",8426,"8426y2013","Biberach",679,136,175,3,26,915,2461,108,555,1279,0,519,2993,349,3.1,1409.75,188696,94063,94633,134,13.7787764446517,19,8.4,24.8,29.9,17.9
"222",8435,"8435y2013","Bodenseekreis",646,204,251,2,30,1148,2492,150,483,1210,8,641,3193,256,3.2,664.8,207450,101660,105790,312,14.4613159797542,16.9,7.9,23.7,29.9,21.6
"223",8436,"8436y2013","Ravensburg",1201,385,477,7,68,1371,3879,207,731,2078,1,862,4171,402,3.2,1631.82,273540,134892,138648,168,24.8592527601082,18.4,8.8,24.7,29.2,18.9
"224",8437,"8437y2013","Sigmaringen",408,144,176,4,16,564,1743,100,274,883,0,486,2692,298,4.3,1204.34,127101,62980,64121,106,12.5884139385213,18.2,8.7,23.1,30.6,19.4
"225",9161,"9161y2013","Ingolstadt",1071,315,378,9,44,617,1708,75,323,749,0,561,2539,259,4,133.37,129136,64731,64405,968,34.0726056250774,16.5,8.2,29.8,26.8,18.8
"226",9162,"9162y2013","München",8816,3339,4070,37,541,4688,11473,684,2489,4541,0,3759,39775,2795,5.9,310.74,1407836,683126,724710,4531,38.427771416557,14.8,8.1,33.9,25.3,17.9
"227",9163,"9163y2013","Rosenheim",721,208,252,6,24,225,1027,64,180,447,0,336,1632,143,5.7,37.22,60464,29546,30918,1625,39.6930404869013,16.2,8.3,28.2,27.2,20
"228",9171,"9171y2013","Altötting",404,107,133,4,20,557,1243,40,291,624,0,288,2138,231,4.1,569.35,106965,52378,54587,188,18.6977048567288,16.9,7.8,23.5,30.7,21.1
"229",9172,"9172y2013","Berchtesgadener Land",339,66,101,5,20,516,1073,49,264,523,0,237,1999,187,4.7,839.92,102346,49891,52455,122,19.5415551169562,15.6,8.3,24.3,28.6,23.2
"230",9173,"9173y2013","Bad Tölz-Wolfratshausen",390,90,113,3,18,699,1508,33,297,725,0,453,1942,169,3.4,1110.69,122118,59850,62268,110,14.7398417923648,17.5,7.5,23.9,30.2,20.9
"231",9174,"9174y2013","Dachau",435,104,140,1,21,591,1523,76,423,637,0,387,1983,220,2.8,579.18,144407,71636,72771,249,14.5422313322761,18,8,26.5,29.7,17.7
"232",9175,"9175y2013","Ebersberg",321,109,138,2,18,533,1418,81,209,623,0,505,1734,149,2.8,549.37,133007,65811,67196,242,13.5331223168705,19.2,7.5,25.3,29.4,18.7
"233",9176,"9176y2013","Eichstätt",265,93,110,0,7,594,1321,23,266,746,0,286,945,119,1.5,1214.06,125858,63300,62558,104,5.56182364251776,19,8.7,25.9,29.5,16.9
"234",9177,"9177y2013","Erding",409,115,142,1,15,580,1440,40,402,658,0,340,1584,158,2.4,870.72,130238,65192,65046,150,11.5173758810793,19,8.2,26.5,30.4,15.8
"235",9178,"9178y2013","Freising",459,142,175,0,18,692,1844,68,356,971,0,449,2460,220,2.9,799.82,169010,85466,83544,211,10.65025738122,18.2,9.2,28.5,28.7,15.4
"236",9179,"9179y2013","Fürstenfeldbruck",608,136,176,3,29,862,2139,58,362,879,0,840,3456,297,3.5,434.79,208272,101205,107067,479,13.9240992548206,17.6,7.3,24.8,29,21.3
"237",9180,"9180y2013","Garmisch-Partenkirchen",250,64,76,4,5,728,1006,22,195,419,0,370,1728,153,4.5,1012.23,85443,41154,44289,84,5.85185445267605,15.5,7.6,22.3,29.6,25
"238",9181,"9181y2013","Landsberg am Lech",335,78,103,3,11,664,1457,78,303,691,0,385,1751,170,3.3,804.38,114926,56988,57938,143,9.57137636392113,18.8,7.8,23.6,30.9,18.8
"239",9182,"9182y2013","Miesbach",256,86,105,4,6,1010,1005,30,221,554,0,200,1466,113,3.4,866.23,96049,46565,49484,111,6.24681152328499,16.7,7.6,23.6,29.8,22.3
"240",9183,"9183y2013","Mühldorf a.Inn",384,86,121,4,17,487,1429,72,345,716,0,296,2301,247,4.4,805.31,109227,54591,54636,136,15.5639173464436,17.5,8.3,24.3,30.4,19.6
"241",9184,"9184y2013","München",740,283,348,2,46,1649,2916,98,393,1016,0,1409,5188,346,3.5,664.25,329981,162383,167598,497,13.9401965567715,18.2,7.2,25.9,28.1,20.6
"242",9185,"9185y2013","Neuburg-Schrobenhausen",402,115,140,0,12,497,1194,43,255,656,0,240,1173,135,2.6,739.8,92700,46418,46282,125,12.9449838187702,18.1,8.3,25.4,29.9,18.3
"243",9186,"9186y2013","Pfaffenhofen a.d.Ilm",526,144,167,6,13,567,1197,75,309,531,0,282,1402,161,2.4,761.14,119987,60632,59355,158,10.8345070715994,17.8,8.2,26.1,30.6,17.4
"244",9187,"9187y2013","Rosenheim",830,191,224,9,17,1408,2478,107,527,1318,0,526,3653,403,3.2,1439.54,249810,123049,126761,174,6.80517193066731,17.7,8.1,23.8,30.2,20.2
"245",9188,"9188y2013","Starnberg",285,91,124,3,19,846,1185,42,154,452,0,537,1809,118,3.3,487.71,130811,62863,67948,268,14.5247723815275,18.2,7,22.1,30.1,22.6
"246",9189,"9189y2013","Traunstein",593,163,195,6,19,982,2064,80,445,1046,0,493,2829,291,3.6,1534,170364,83288,87076,111,11.1525909229649,16.8,8,23,30,22.2
"247",9190,"9190y2013","Weilheim-Schongau",424,87,104,1,14,615,1657,59,350,838,0,410,1952,225,3.2,966.38,130387,64322,66065,135,10.7372667520535,17.8,7.9,23.1,30.4,20.7
"248",9261,"9261y2013","Landshut",774,192,236,1,38,300,1114,36,162,565,0,351,1693,157,5.5,65.81,66179,31659,34520,1006,57.4200275011711,15.1,8.6,27.5,27.6,21.3
"249",9262,"9262y2013","Passau",421,113,148,6,27,340,898,33,143,445,0,277,1395,131,6.3,69.57,49454,23239,26215,711,54.5961903991588,13.3,12.2,26,26.7,21.9
"250",9263,"9263y2013","Straubing",423,113,154,1,23,247,981,49,176,399,0,357,1369,165,6.4,67.58,45502,22636,22866,673,50.5472286932443,14.1,8.2,26.6,29.9,21.1
"251",9271,"9271y2013","Deggendorf",575,154,185,4,17,568,1407,51,324,708,1,323,2151,234,3.8,861.3,115374,57071,58303,134,14.7346889247144,16.6,8.5,24.6,31.1,19.1
"252",9272,"9272y2013","Freyung-Grafenau",234,52,63,0,4,369,846,25,220,402,0,199,1637,162,4.5,984.14,77626,38426,39200,79,5.15291268389457,16.2,8.2,23,32.6,20
"253",9273,"9273y2013","Kelheim",403,128,144,0,10,551,1229,47,345,530,0,307,1870,213,3.3,1065.98,115232,57764,57468,108,8.67814495973341,18,8.5,25.4,30.2,17.9
"254",9274,"9274y2013","Landshut",495,115,140,2,18,666,1362,43,451,701,0,167,2234,254,3,1347.91,150316,75767,74549,112,11.9747731445754,18.2,8.1,25,31.1,17.6
"255",9275,"9275y2013","Passau",555,124,150,4,17,820,1798,61,479,892,0,366,3793,430,4.3,1530.29,185671,91391,94280,121,9.15598020153928,16.5,7.9,23.7,31.3,20.5
"256",9276,"9276y2013","Regen",252,58,71,3,3,436,819,27,244,413,0,135,1569,139,4.3,974.91,76257,37813,38444,78,3.93406506943625,15.8,7.9,23.4,32.2,20.7
"257",9277,"9277y2013","Rottal-Inn",443,137,161,10,8,527,1400,55,384,681,0,280,2217,284,4,1281.42,117654,58380,59274,92,6.7995988236694,17.1,8.1,23.8,30.5,20.5
"258",9278,"9278y2013","Straubing-Bogen",265,53,65,1,4,425,783,16,261,360,0,146,1560,180,3.3,1201.94,97323,48597,48726,81,4.11002537940672,17.7,8.1,24.5,31.4,18.3
"259",9279,"9279y2013","Dingolfing-Landau",364,91,104,1,8,404,1012,27,326,412,0,247,1410,179,2.9,877.79,92565,47210,45355,105,8.64257548749527,16.8,8.8,25.4,30.8,18.2
"260",9361,"9361y2013","Amberg",279,58,78,0,17,210,886,60,129,400,0,297,1398,148,6.9,50.13,41592,20353,21239,830,40.8732448547798,15,7.9,24.7,30,22.3
"261",9362,"9362y2013","Regensburg",1178,323,441,5,94,1014,1937,92,329,790,0,726,3629,323,5.3,80.7,140276,67035,73241,1738,67.0107502352505,14.1,10.7,32.2,25.1,17.9
"262",9363,"9363y2013","Weiden i.d.OPf.",406,106,134,6,20,225,872,28,127,441,0,276,1611,170,8,70.54,41726,19765,21961,592,47.9317451948425,15.2,8,24.5,29.5,22.8
"263",9371,"9371y2013","Amberg-Sulzbach",238,77,95,0,12,429,712,18,270,347,0,77,1885,221,3.7,1255.76,103074,51248,51826,82,11.6421211944816,16.7,8.3,23.1,32.1,19.8
"264",9372,"9372y2013","Cham",404,96,108,0,6,613,1469,29,397,761,0,282,2453,291,4,1520.16,125553,62483,63070,83,4.77885833074478,16.4,8.1,24.4,31.5,19.7
"265",9373,"9373y2013","Neumarkt i.d.OPf.",391,98,110,2,4,562,1609,40,447,759,0,363,1739,181,2.8,1344.12,127826,64011,63815,95,3.12925382942437,17.7,8.6,24.5,31.3,18
