"","year","district","UnemployedTotal","UnemployedTotal15to25","UnemployedPercentage"
"528",2013,1001,5205,642,12.3
"529",2013,1002,13070,1251,11.4
"530",2013,1003,11109,1212,11.6
"531",2013,1004,4458,557,12.5
"532",2013,1051,5003,645,8.6
"533",2013,1053,6191,747,7
"534",2013,1054,5868,577,7.3
"535",2013,1055,6489,697,7.3
"536",2013,1056,8815,878,6.1
"537",2013,1057,3582,372,6.4
"538",2013,1058,7687,926,6.4
"539",2013,1059,7878,948,8.6
"540",2013,1060,7171,695,5.7
"541",2013,1061,4156,527,6.9
"542",2013,1062,5067,493,4.7
"546",2013,3101,9301,632,7.8
"547",2013,3102,4680,451,10.4
"548",2013,3103,3153,306,5.4
"549",2013,3151,4698,521,5.7
"550",2013,3152,8725,679,7.5
"551",2013,3153,5995,495,9.9
"552",2013,3154,3532,344,8.3
"553",2013,3155,5078,503,8.1
"554",2013,3156,2954,275,8.7
"555",2013,3157,4153,431,6.7
"556",2013,3158,3791,349,6.9
"558",2013,3241,48239,4589,9.1
"559",2013,3241001,NA,NA,NA
"560",2013,3251,5240,623,5.1
"561",2013,3252,6206,709,9.1
"562",2013,3254,10920,1118,8.5
"563",2013,3255,2970,307,9.3
"564",2013,3256,3951,447,6.9
"565",2013,3257,5509,612,7.7
"567",2013,3351,6621,743,8.3
"568",2013,3352,6133,662,6.9
"569",2013,3353,6233,627,5.4
"570",2013,3354,2353,229,12
"571",2013,3355,5990,549,7.2
"572",2013,3356,2621,319,5
"573",2013,3357,3888,438,5
"574",2013,3358,4927,616,7.5
"575",2013,3359,6509,760,6.8
"576",2013,3360,3197,355,7.8
"577",2013,3361,4006,311,6.2
"579",2013,3401,4207,425,11.9
"580",2013,3402,2335,276,10
"581",2013,3403,7144,807,9.1
"582",2013,3404,6606,633,8.6
"583",2013,3405,4633,484,13.7
"584",2013,3451,2813,242,5
"585",2013,3452,7713,832,8.8
"586",2013,3453,4871,602,6.3
"587",2013,3454,6207,790,4.1
"588",2013,3455,3004,286,6.8
"589",2013,3456,3192,324,5
"590",2013,3457,5385,658,7.2
"591",2013,3458,3247,329,5.3
"592",2013,3459,7776,722,4.5
"593",2013,3460,3076,393,4.3
"594",2013,3461,3490,418,8.5
"595",2013,3462,1934,209,7.7
"597",2013,4011,28878,2603,11.5
"598",2013,4012,8319,834,16.3
"601",2013,5111,27715,1596,9.8
"602",2013,5112,31555,2986,14.3
"603",2013,5113,35896,3445,13.6
"604",2013,5114,12800,1029,12.5
"605",2013,5116,15053,1650,12.7
"606",2013,5117,6336,275,8.3
"607",2013,5119,13194,1377,13.6
"608",2013,5120,5420,563,10.3
"609",2013,5122,7398,791,9.9
"610",2013,5124,21122,2188,13.1
"611",2013,5154,10171,1169,7.2
"612",2013,5158,18023,1486,7.9
"613",2013,5162,14622,1239,7.1
"614",2013,5166,11316,1198,8
"615",2013,5170,17582,1814,8.2
"617",2013,5314,11368,898,7.8
"618",2013,5315,52124,3718,10.6
"619",2013,5316,6860,779,9.3
"620",2013,5334,25069,2338,9.8
"621",2013,5334002,NA,NA,NA
"622",2013,5354,NA,NA,NA
"623",2013,5358,10793,1292,8.8
"624",2013,5362,18403,1851,8.6
"625",2013,5366,6192,744,6.8
"626",2013,5370,9443,1194,8.1
"627",2013,5374,8750,1005,6.7
"628",2013,5378,9205,803,7.2
"629",2013,5382,17986,2083,6.6
"631",2013,5512,5277,646,9.9
"632",2013,5513,17946,1810,16
"633",2013,5515,9257,850,6.5
"634",2013,5554,8725,990,4.8
"635",2013,5558,3945,493,3.7
"636",2013,5562,35158,3430,12.2
"637",2013,5566,11609,1512,5.4
"638",2013,5570,8821,960,6.6
"640",2013,5711,15533,1704,10.4
"641",2013,5754,10273,1162,5.9
"642",2013,5758,8315,935,7
"643",2013,5762,3944,470,5.9
"644",2013,5766,13725,1555,8.5
"645",2013,5770,9385,1079,6.4
"646",2013,5774,10087,1125,6.9
"648",2013,5911,19112,1696,11.4
"649",2013,5913,38511,3659,14.6
"650",2013,5914,10154,1104,11.8
"651",2013,5915,9416,891,11.5
"652",2013,5916,10510,975,15.2
"653",2013,5954,12779,976,8.3
"654",2013,5958,7497,753,5.8
"655",2013,5962,15864,1604,7.9
"656",2013,5966,3653,405,5.3
"657",2013,5970,8678,1095,6.4
"658",2013,5974,10355,967,7.1
"659",2013,5978,19835,1728,10.7
"662",2013,6411,5072,483,7.4
"663",2013,6412,26233,1950,8.3
"664",2013,6413,6899,530,12.5
"665",2013,6414,10773,1198,8.3
"666",2013,6431,6250,364,5.1
"667",2013,6432,7652,787,5.6
"668",2013,6433,8311,872,6.8
"669",2013,6434,4555,324,4.6
"670",2013,6435,10988,1202,5.8
"671",2013,6436,5400,460,5
"672",2013,6437,2990,360,6.6
"673",2013,6438,9964,937,6.2
"674",2013,6439,4142,303,4.9
"675",2013,6440,8225,865,6
"677",2013,6531,9457,971,7.9
"678",2013,6532,8330,905,6.9
"679",2013,6533,5222,557,6.6
"680",2013,6534,5928,655,5.2
"681",2013,6535,2661,310,5.2
"683",2013,6611,9947,1153,11.3
"684",2013,6631,4138,446,4
"685",2013,6632,3211,380,5.8
"686",2013,6633,6415,697,5.9
"687",2013,6634,5042,626,6
"688",2013,6635,4373,524,5.8
"689",2013,6636,3429,392,7.7
"692",2013,7111,3708,335,7.2
"693",2013,7131,2913,317,5
"694",2013,7132,3953,469,6.4
"695",2013,7133,5829,630,7.9
"696",2013,7134,2914,331,7.6
"697",2013,7135,1358,163,4.5
"698",2013,7137,5596,639,5.5
"699",2013,7138,5540,643,6.6
"700",2013,7140,2652,287,5.3
"701",2013,7141,2779,192,4.8
"702",2013,7143,4519,479,4.6
"704",2013,7211,3146,384,6.2
"705",2013,7231,2341,297,4.3
"706",2013,7232,1636,240,3.6
"707",2013,7233,1562,191,5.3
"708",2013,7235,2795,348,3.9
"710",2013,7311,1673,176,7.8
"711",2013,7312,5409,543,11.8
"712",2013,7313,1164,120,5.5
"713",2013,7314,7591,747,10.2
"714",2013,7315,6633,571,6.8
"715",2013,7316,1627,168,6.6
"716",2013,7317,2711,313,14.7
"717",2013,7318,1688,187,7.1
"718",2013,7319,3655,474,9.4
"719",2013,7320,1408,128,8.8
"720",2013,7331,3167,397,5.2
"721",2013,7332,2910,300,4.8
"722",2013,7333,2364,291,6.5
"723",2013,7334,3263,367,5.2
"724",2013,7335,3155,363,6.4
"725",2013,7336,1927,230,5.6
"726",2013,7337,2386,258,4.6
"727",2013,7338,3036,315,4.1
"728",2013,7339,4786,553,4.8
"729",2013,7340,2560,306,5.4
"732",2013,8111,18006,1274,6.5
"733",2013,8115,7522,587,4.2
"734",2013,8116,9970,857,4
"735",2013,8117,5667,597,4.8
"736",2013,8118,10991,1058,4.3
"737",2013,8119,8779,666,4.4
"738",2013,8121,4248,383,7.4
"739",2013,8125,7005,686,4.3
"740",2013,8126,1894,181,3.4
"741",2013,8127,3567,398,3.8
"742",2013,8128,2661,275,4.1
"743",2013,8135,3565,313,5.8
"744",2013,8136,6103,569,4.1
"746",2013,8211,1491,101,6.3
"747",2013,8212,8556,661,6.2
"748",2013,8215,7555,834,3.6
"749",2013,8216,4559,431,4
"750",2013,8221,3481,262,5.8
"751",2013,8222,9260,437,6.7
"752",2013,8225,3120,335,4.5
"753",2013,8226,12535,1183,5
"754",2013,8231,4864,457,8.9
"755",2013,8235,3489,365,4.7
"756",2013,8236,2876,320,3.1
"757",2013,8237,2664,280,4.5
"759",2013,8311,6659,300,6.7
"760",2013,8315,4548,356,3.8
"761",2013,8316,2854,257,3.6
"762",2013,8317,8756,747,4.2
"763",2013,8325,2498,259,3.7
"764",2013,8326,4380,467,4.4
"765",2013,8327,2344,205,3.5
"766",2013,8335,6253,559,4.8
"767",2013,8336,4596,430,4
"768",2013,8337,2825,288,3.4
"770",2013,8415,6009,561,4.5
"771",2013,8416,3874,282,3.8
"772",2013,8417,4341,450,4.8
"773",2013,8421,3214,276,5.6
"774",2013,8425,3322,376,3.5
"775",2013,8426,2993,349,3.1
"776",2013,8435,3193,256,3.2
"777",2013,8436,4171,402,3.2
"778",2013,8437,2692,298,4.3
"781",2013,9161,2539,259,4
"782",2013,9162,39775,2795,5.9
"783",2013,9163,1632,143,5.7
"784",2013,9171,2138,231,4.1
"785",2013,9172,1999,187,4.7
"786",2013,9173,1942,169,3.4
"787",2013,9174,1983,220,2.8
"788",2013,9175,1734,149,2.8
"789",2013,9176,945,119,1.5
"790",2013,9177,1584,158,2.4
"791",2013,9178,2460,220,2.9
"792",2013,9179,3456,297,3.5
"793",2013,9180,1728,153,4.5
"794",2013,9181,1751,170,3.3
"795",2013,9182,1466,113,3.4
"796",2013,9183,2301,247,4.4
"797",2013,9184,5188,346,3.5
"798",2013,9185,1173,135,2.6
"799",2013,9186,1402,161,2.4
"800",2013,9187,3653,403,3.2
"801",2013,9188,1809,118,3.3
"802",2013,9189,2829,291,3.6
"803",2013,9190,1952,225,3.2
"805",2013,9261,1693,157,5.5
"806",2013,9262,1395,131,6.3
"807",2013,9263,1369,165,6.4
"808",2013,9271,2151,234,3.8
"809",2013,9272,1637,162,4.5
"810",2013,9273,1870,213,3.3
"811",2013,9274,2234,254,3
"812",2013,9275,3793,430,4.3
"813",2013,9276,1569,139,4.3
"814",2013,9277,2217,284,4
"815",2013,9278,1560,180,3.3
"816",2013,9279,1410,179,2.9
"818",2013,9361,1398,148,6.9
"819",2013,9362,3629,323,5.3
"820",2013,9363,1611,170,8
"821",2013,9371,1885,221,3.7
"822",2013,9372,2453,291,4
"823",2013,9373,1739,181,2.8
"824",2013,9374,2198,255,4.7
"825",2013,9375,2709,294,2.9
"826",2013,9376,2783,342,4
"827",2013,9377,1892,195,5.4
"829",2013,9461,1937,173,5.8
"830",2013,9462,2332,182,7.1
"831",2013,9463,1322,140,6.9
"832",2013,9464,1572,125,7.9
"833",2013,9471,2491,286,3.4
"834",2013,9472,2178,218,4.2
"835",2013,9473,2002,222,4.7
"836",2013,9474,2070,237,3.7
"837",2013,9475,2268,236,5.1
"838",2013,9476,1697,166,5
"839",2013,9477,2010,186,5.6
"840",2013,9478,1701,180,5.1
"841",2013,9479,2009,166,6
"843",2013,9561,1075,138,5.5
"844",2013,9562,2487,209,4.7
"845",2013,9563,4633,452,7.9
"846",2013,9564,21302,2101,8.8
"847",2013,9565,969,108,5.2
"848",2013,9571,3090,351,3.5
"849",2013,9572,1780,190,2.8
"850",2013,9573,2140,198,3.9
"851",2013,9574,2771,315,3.5
"852",2013,9575,1399,194,2.9
"853",2013,9576,2115,233,3.5
"854",2013,9577,1692,191,3.8
"856",2013,9661,2410,235,7.3
"857",2013,9662,1692,155,7.1
"858",2013,9663,3274,238,5.4
"859",2013,9671,3183,375,3.8
"860",2013,9672,2259,247,4.6
"861",2013,9673,1414,179,3.7
"862",2013,9674,1706,232,4
"863",2013,9675,1579,181,3.7
"864",2013,9676,2552,287,4.1
"865",2013,9677,2014,285,3.2
"866",2013,9678,1792,215,3.2
"867",2013,9679,2520,264,3.2
"869",2013,9761,9429,868,7.3
"870",2013,9762,1394,160,7
"871",2013,9763,1668,161,5.5
"872",2013,9764,882,93,4.4
"873",2013,9771,1840,208,2.9
"874",2013,9772,3732,429,3.2
"875",2013,9773,1368,145,2.9
"876",2013,9774,2075,241,3.5
"877",2013,9775,3207,328,3.9
"878",2013,9776,1233,144,3.4
"879",2013,9777,1970,246,3.1
"880",2013,9778,1591,216,2.5
"881",2013,9779,1543,160,2.4
"882",2013,9780,2525,285,3.6
"884",2013,10041,15895,1600,10.6
"885",2013,10041100,NA,NA,NA
"886",2013,10042,2748,317,5.5
"887",2013,10043,5531,659,8.7
"888",2013,10044,6773,800,7.2
"889",2013,10045,4471,447,6.5
"890",2013,10046,1964,161,4.5
"893",2013,12051,4973,485,14.5
"894",2013,12052,6330,581,13.2
"895",2013,12053,4566,315,16
"896",2013,12054,6461,565,8.4
"897",2013,12060,8957,849,10.6
"898",2013,12061,6235,450,8.1
"899",2013,12062,7252,541,14
"900",2013,12063,7815,687,10.4
"901",2013,12064,9910,797,10.9
"902",2013,12065,9925,732,9.9
"903",2013,12066,8623,656,15.5
"904",2013,12067,8689,732,10
"905",2013,12068,5629,456,11.5
"906",2013,12069,7592,611,7.6
"907",2013,12070,5341,400,14.3
"908",2013,12071,6901,415,11.6
"909",2013,12072,6850,674,8.6
"910",2013,12073,10280,812,16.8
"912",2013,13001,NA,NA,NA
"913",2013,13002,NA,NA,NA
"914",2013,13003,12019,1200,12.6
"915",2013,13004,5665,535,12.8
"916",2013,13005,NA,NA,NA
"917",2013,13006,NA,NA,NA
"918",2013,13051,NA,NA,NA
"919",2013,13052,NA,NA,NA
"920",2013,13053,NA,NA,NA
"921",2013,13054,NA,NA,NA
"922",2013,13055,NA,NA,NA
"923",2013,13056,NA,NA,NA
"924",2013,13057,NA,NA,NA
"925",2013,13058,NA,NA,NA
"926",2013,13059,NA,NA,NA
"927",2013,13060,NA,NA,NA
"928",2013,13061,NA,NA,NA
"929",2013,13062,NA,NA,NA
"930",2013,13071,19564,1695,15.2
"931",2013,13072,10358,969,10.3
"932",2013,13073,15431,1378,14.5
"933",2013,13074,8332,773,10.9
"934",2013,13075,17492,1490,15.7
"935",2013,13076,10090,950,9.5
"938",2013,14161,NA,NA,NA
"939",2013,14166,NA,NA,NA
"940",2013,14167,NA,NA,NA
"941",2013,14171,NA,NA,NA
"942",2013,14173,NA,NA,NA
"943",2013,14177,NA,NA,NA
"944",2013,14178,NA,NA,NA
"945",2013,14181,NA,NA,NA
"946",2013,14182,NA,NA,NA
"947",2013,14188,NA,NA,NA
"948",2013,14191,NA,NA,NA
"949",2013,14193,NA,NA,NA
"951",2013,14262,NA,NA,NA
"952",2013,14263,NA,NA,NA
"953",2013,14264,NA,NA,NA
"954",2013,14272,NA,NA,NA
"955",2013,14280,NA,NA,NA
"956",2013,14284,NA,NA,NA
"957",2013,14285,NA,NA,NA
"958",2013,14286,NA,NA,NA
"959",2013,14287,NA,NA,NA
"960",2013,14290,NA,NA,NA
"961",2013,14292,NA,NA,NA
"963",2013,14365,NA,NA,NA
"964",2013,14374,NA,NA,NA
"965",2013,14375,NA,NA,NA
"966",2013,14379,NA,NA,NA
"967",2013,14383,NA,NA,NA
"968",2013,14389,NA,NA,NA
"970",2013,14511,12612,1057,11.5
"971",2013,14521,16600,1165,9.8
"972",2013,14522,14482,1153,9.5
"973",2013,14523,10161,772,9.4
"974",2013,14524,14206,1110,9.3
"976",2013,14612,24239,2217,9.9
"977",2013,14625,15575,1048,10.4
"978",2013,14626,16004,990,13.2
"979",2013,14627,12063,898,10.3
"980",2013,14628,11034,875,9.6
"982",2013,14713,29716,2871,12.3
"983",2013,14729,12188,1015,9.7
"984",2013,14730,11749,948,12
"986",2013,15001,5044,423,12.9
"987",2013,15002,13682,1162,13.2
"988",2013,15003,13769,1334,12.5
"989",2013,15081,4385,435,9.9
"990",2013,15082,10394,899,12.3
"991",2013,15083,8385,738,9.3
"992",2013,15084,11831,990,13.2
"993",2013,15085,10495,754,9.6
"994",2013,15086,4961,348,11
"995",2013,15087,10193,807,15.3
"996",2013,15088,10208,963,10.6
"997",2013,15089,12795,727,13.2
"998",2013,15090,8445,698,14.9
"999",2013,15091,7546,611,12
"1001",2013,15101,NA,NA,NA
"1002",2013,15151,NA,NA,NA
"1003",2013,15153,NA,NA,NA
"1004",2013,15154,NA,NA,NA
"1005",2013,15159,NA,NA,NA
"1006",2013,15171,NA,NA,NA
"1008",2013,15202,NA,NA,NA
"1009",2013,15256,NA,NA,NA
"1010",2013,15260,NA,NA,NA
"1011",2013,15261,NA,NA,NA
"1012",2013,15265,NA,NA,NA
"1013",2013,15266,NA,NA,NA
"1014",2013,15268,NA,NA,NA
"1016",2013,15303,NA,NA,NA
"1017",2013,15352,NA,NA,NA
"1018",2013,15355,NA,NA,NA
"1019",2013,15357,NA,NA,NA
"1020",2013,15358,NA,NA,NA
"1021",2013,15362,NA,NA,NA
"1022",2013,15363,NA,NA,NA
"1023",2013,15364,NA,NA,NA
"1024",2013,15367,NA,NA,NA
"1025",2013,15369,NA,NA,NA
"1026",2013,15370,NA,NA,NA
"1028",2013,16051,9136,620,9.5
"1029",2013,16052,5861,427,13.2
"1030",2013,16053,3771,269,7.7
"1031",2013,16054,1430,124,8.3
"1032",2013,16055,2644,210,9.5
"1033",2013,16056,2049,169,10.5
"1034",2013,16061,3469,280,6.8
"1035",2013,16062,4638,362,11.6
"1036",2013,16063,4418,361,6.9
"1037",2013,16064,6288,503,12.3
"1038",2013,16065,4686,306,12.8
"1039",2013,16066,4434,316,7.1
"1040",2013,16067,5761,447,8.7
"1041",2013,16068,3820,285,10.7
"1042",2013,16069,2085,157,6.2
"1043",2013,16070,4737,363,9
"1044",2013,16071,3174,243,7.7
"1045",2013,16072,1428,143,5
"1046",2013,16073,4892,393,9.1
"1047",2013,16074,3390,249,8.1
"1048",2013,16075,3421,278,8.2
"1049",2013,16076,4740,280,9.7
"1050",2013,16077,5584,399,12.6
"543",2013,2,71557,5468,8.6
"891",2013,11,210083,19108,13.9
