"","district","DistrictName","TotalPopulation"
"83",5334,"Aachen",545067
"145",7131,"Ahrweiler",126102
"310",9771,"Aichach-Friedberg",128435
"219",8425,"Alb-Donau-Kreis",187892
"401",16077,"Altenburger Land",93605
"146",7132,"Altenkirchen (Westerwald)",128373
"368",15081,"Altmarkkreis Salzwedel",86312
"227",9171,"Altötting",106965
"170",7331,"Alzey-Worms",125213
"259",9361,"Amberg",41592
"262",9371,"Amberg-Sulzbach",103074
"51",3451,"Ammerland",118865
"369",15082,"Anhalt-Bitterfeld",166828
"282",9561,"Ansbach",39839
"287",9571,"Ansbach",178914
"294",9661,"Aschaffenburg",67844
"297",9671,"Aschaffenburg",172791
"306",9761,"Augsburg",276542
"311",9772,"Augsburg",240911
"52",3452,"Aurich",187058
"171",7332,"Bad Dürkheim",131041
"298",9672,"Bad Kissingen",102865
"147",7133,"Bad Kreuznach",155297
"229",9173,"Bad Tölz-Wolfratshausen",122118
"193",8211,"Baden-Baden",53012
"269",9461,"Bamberg",71167
"273",9471,"Bamberg",144425
"330",12060,"Barnim",173754
"358",14625,"Bautzen",308350
"270",9462,"Bayreuth",71572
"274",9472,"Bayreuth",104637
"228",9172,"Berchtesgadener Land",102346
"122",6431,"Bergstraße",262322
"2",11,"Berlin",3421829
"156",7231,"Bernkastel-Wittlich",110643
"220",8426,"Biberach",188696
"99",5711,"Bielefeld",328864
"148",7134,"Birkenfeld",80673
"181",8115,"Böblingen",370392
"106",5911,"Bochum",361734
"221",8435,"Bodenseekreis",207450
"80",5314,"Bonn",311287
"370",15083,"Börde",172955
"94",5554,"Borken",364271
"91",5512,"Bottrop",116055
"326",12051,"Brandenburg an der Havel",71032
"17",3101,"Braunschweig",247227
"206",8315,"Breisgau-Hochschwarzwald",250137
"63",4011,"Bremen",548547
"64",4012,"Bremerhaven",108844
"371",15084,"Burgenlandkreis",184956
"202",8235,"Calw",151461
"35",3351,"Celle",175552
"263",9372,"Cham",125553
"352",14511,"Chemnitz",242022
"53",3453,"Cloppenburg",160176
"271",9463,"Coburg",40994
"275",9473,"Coburg",86719
"149",7135,"Cochem-Zell",63202
"95",5558,"Coesfeld",215282
"327",12052,"Cottbus",99595
"36",3352,"Cuxhaven",196607
"230",9174,"Dachau",144407
"331",12061,"Dahme-Spreewald",160793
"118",6411,"Darmstadt",149743
"123",6432,"Darmstadt-Dieburg",285407
"250",9271,"Deggendorf",115374
"46",3401,"Delmenhorst",74052
"365",15001,"Dessau-Roßlau",83616
"29",3251,"Diepholz",209955
"312",9773,"Dillingen a.d.Donau",93129
"258",9279,"Dingolfing-Landau",92565
"6",1051,"Dithmarschen",132665
"318",9779,"Donau-Ries",129422
"172",7333,"Donnersbergkreis",75192
"107",5913,"Dortmund",575944
"357",14612,"Dresden",530754
"66",5112,"Duisburg",486855
"84",5358,"Düren",258385
"65",5111,"Düsseldorf",598686
"231",9175,"Ebersberg",133007
"385",16061,"Eichsfeld",100951
"232",9176,"Eichstätt",125858
"157",7232,"Eifelkreis Bitburg-Prüm",96158
"384",16056,"Eisenach",41567
"332",12062,"Elbe-Elster",106157
"47",3402,"Emden",49790
"207",8316,"Emmendingen",158177
"54",3454,"Emsland",313689
"111",5954,"Ennepe-Ruhr-Kreis",322731
"203",8236,"Enzkreis",192811
"233",9177,"Erding",130238
"379",16051,"Erfurt",204880
"283",9562,"Erlangen",105624
"288",9572,"Erlangen-Höchstadt",132012
"353",14521,"Erzgebirgskreis",351309
"67",5113,"Essen",569884
"182",8116,"Esslingen",512279
"86",5366,"Euskirchen",187437
"276",9474,"Forchheim",113424
"160",7311,"Frankenthal (Pfalz)",47332
"328",12053,"Frankfurt (Oder)",58018
"119",6412,"Frankfurt am Main",701350
"205",8311,"Freiburg im Breisgau",220286
"234",9178,"Freising",169010
"204",8237,"Freudenstadt",114793
"251",9272,"Freyung-Grafenau",77626
"55",3455,"Friesland",97093
"138",6631,"Fulda",216314
"235",9179,"Fürstenfeldbruck",208272
"284",9563,"Fürth",119808
"289",9573,"Fürth",114513
"236",9180,"Garmisch-Partenkirchen",85443
"92",5513,"Gelsenkirchen",257850
"380",16052,"Gera",94977
"173",7334,"Germersheim",125434
"132",6531,"Gießen",253820
"20",3151,"Gifhorn",171475
"183",8117,"Göppingen",248813
"359",14626,"Görlitz",262168
"22",3153,"Goslar",137833
"391",16067,"Gotha",135155
"21",3152,"Göttingen",248249
"56",3456,"Grafschaft Bentheim",133678
"400",16076,"Greiz",102167
"124",6433,"Groß-Gerau",257301
"313",9774,"Günzburg",120696
"100",5754,"Gütersloh",352334
"108",5914,"Hagen",185996
"366",15002,"Halle (Saale)",231565
"1",2,"Hamburg",1746342
"30",3252,"Hameln-Pyrmont",147755
"109",5915,"Hamm",176048
"37",3353,"Harburg",242871
"372",15085,"Harz",221043
"300",9674,"Haßberge",84090
"333",12063,"Havelland",153874
"197",8221,"Heidelberg",152113
"191",8135,"Heidenheim",127947
"186",8121,"Heilbronn",118122
"187",8125,"Heilbronn",326035
"87",5370,"Heinsberg",248233
"23",3154,"Helmstedt",90423
"101",5758,"Herford",248988
"110",5916,"Herne",154417
"139",6632,"Hersfeld-Rotenburg",119651
"7",1053,"Herzogtum Lauenburg",189043
"393",16069,"Hildburghausen",65032
"31",3254,"Hildesheim",274519
"112",5958,"Hochsauerlandkreis",261999
"125",6434,"Hochtaunuskreis",229167
"272",9464,"Hof",44522
"277",9475,"Hof",97096
"188",8126,"Hohenlohekreis",107866
"32",3255,"Holzminden",71877
"102",5762,"Höxter",142788
"394",16070,"Ilm-Kreis",108958
"224",9161,"Ingolstadt",129136
"381",16053,"Jena",107679
"373",15086,"Jerichower Land",91721
"161",7312,"Kaiserslautern",97162
"174",7335,"Kaiserslautern",104117
"194",8212,"Karlsruhe",299103
"195",8215,"Karlsruhe",429186
"137",6611,"Kassel",194087
"140",6633,"Kassel",233352
"307",9762,"Kaufbeuren",41759
"252",9273,"Kelheim",115232
"308",9763,"Kempten (Allgäu)",65044
"3",1002,"Kiel",241533
"301",9675,"Kitzingen",88097
"75",5154,"Kleve",302698
"144",7111,"Koblenz",110643
"81",5315,"Köln",1034175
"212",8335,"Konstanz",273407
"68",5114,"Krefeld",222058
"278",9476,"Kronach",68484
"279",9477,"Kulmbach",72898
"175",7336,"Kusel",71098
"389",16065,"Kyffhäuserkreis",77656
"133",6532,"Lahn-Dill-Kreis",251327
"162",7313,"Landau in der Pfalz",43825
"42",3358,"Landkreis Heidekreis",136251
"347",13072,"Landkreis Rostock",210555
"237",9181,"Landsberg am Lech",114926
"247",9261,"Landshut",66179
"253",9274,"Landshut",150316
"57",3457,"Leer",164792
"362",14713,"Leipzig",531562
"363",14729,"Leipzig",257596
"82",5316,"Leverkusen",160819
"280",9478,"Lichtenfels",66644
"134",6533,"Limburg-Weilburg",169964
"315",9776,"Lindau (Bodensee)",78939
"103",5766,"Lippe",345374
"213",8336,"Lörrach",221943
"4",1003,"Lübeck",212958
"38",3354,"Lüchow-Dannenberg",48670
"184",8118,"Ludwigsburg",521633
"163",7314,"Ludwigshafen am Rhein",161518
"351",13076,"Ludwigslust-Parchim",211965
"39",3355,"Lüneburg",176727
"367",15003,"Magdeburg",231021
"126",6435,"Main-Kinzig-Kreis",404995
"303",9677,"Main-Spessart",126295
"190",8128,"Main-Tauber-Kreis",129857
"127",6436,"Main-Taunus-Kreis",228021
"164",7315,"Mainz",204268
"178",7339,"Mainz-Bingen",203338
"198",8222,"Mannheim",296690
"374",15087,"Mansfeld-Südharz",143246
"135",6534,"Marburg-Biedenkopf",241656
"334",12064,"Märkisch-Oderland",187668
"113",5962,"Märkischer Kreis",416240
"150",7137,"Mayen-Koblenz",209785
"346",13071,"Mecklenburgische Seenplatte",262412
"360",14627,"Meißen",243716
"309",9764,"Memmingen",41772
"321",10042,"Merzig-Wadern",103135
"76",5158,"Mettmann",476633
"238",9182,"Miesbach",96049
"302",9676,"Miltenberg",127909
"104",5770,"Minden-Lübbecke",309356
"354",14522,"Mittelsachsen",314591
"69",5116,"Mönchengladbach",255430
"239",9183,"Mühldorf a.Inn",109227
"70",5117,"Mülheim an der Ruhr",166640
"225",9162,"München",1407836
"240",9184,"München",329981
"93",5515,"Münster",299708
"199",8225,"Neckar-Odenwald-Kreis",141584
"314",9775,"Neu-Ulm",166643
"241",9185,"Neuburg-Schrobenhausen",92700
"264",9373,"Neumarkt i.d.OPf.",127826
"5",1004,"Neumünster",77058
"322",10043,"Neunkirchen",133222
"291",9575,"Neustadt a.d.Aisch-Bad Windsheim",97482
"265",9374,"Neustadt a.d.Waldnaab",95447
"165",7316,"Neustadt an der Weinstraße",52400
"151",7138,"Neuwied",179454
"33",3256,"Nienburg (Weser)",119848
"8",1054,"Nordfriesland",161923
"386",16062,"Nordhausen",85380
"364",14730,"Nordsachsen",197346
"349",13074,"Nordwestmecklenburg",155265
"24",3155,"Northeim",134661
"285",9564,"Nürnberg",498876
"290",9574,"Nürnberger Land",165000
"319",9780,"Oberallgäu",150478
"88",5374,"Oberbergischer Kreis",270290
"71",5119,"Oberhausen",209097
"335",12065,"Oberhavel",203012
"336",12066,"Oberspreewald-Lausitz",113842
"128",6437,"Odenwaldkreis",96201
"337",12067,"Oder-Spree",176850
"129",6438,"Offenbach",338300
"120",6413,"Offenbach am Main",119203
"58",3458,"Oldenburg",125778
"48",3403,"Oldenburg (Oldenburg)",159610
"114",5966,"Olpe",134947
"208",8317,"Ortenaukreis",412678
"49",3404,"Osnabrück",156315
"59",3459,"Osnabrück",350302
"192",8136,"Ostalbkreis",306933
"316",9777,"Ostallgäu",134771
"40",3356,"Osterholz",110882
"25",3156,"Osterode am Harz",74367
"9",1055,"Ostholstein",197835
"338",12068,"Ostprignitz-Ruppin",98944
"105",5774,"Paderborn",296688
"248",9262,"Passau",49454
"254",9275,"Passau",185671
"26",3157,"Peine",130147
"242",9186,"Pfaffenhofen a.d.Ilm",119987
"201",8231,"Pforzheim",117754
"10",1056,"Pinneberg",301223
"166",7317,"Pirmasens",40101
"11",1057,"Plön",126643
"329",12054,"Potsdam",161468
"339",12069,"Potsdam-Mittelmark",205520
"340",12070,"Prignitz",77993
"196",8216,"Rastatt",223311
"222",8436,"Ravensburg",273540
"96",5562,"Recklinghausen",613878
"255",9276,"Regen",76257
"260",9362,"Regensburg",140276
"266",9375,"Regensburg",185980
"28",3241,"Region Hannover",1119526
"320",10041,"Regionalverband Saarbrücken",325978
"185",8119,"Rems-Murr-Kreis",411025
"72",5120,"Remscheid",108955
"12",1058,"Rendsburg-Eckernförde",268075
"215",8415,"Reutlingen",276019
"85",5362,"Rhein-Erft-Kreis",456602
"152",7140,"Rhein-Hunsrück-Kreis",100770
"77",5162,"Rhein-Kreis Neuss",440602
"153",7141,"Rhein-Lahn-Kreis",121375
"200",8226,"Rhein-Neckar-Kreis",531013
"177",7338,"Rhein-Pfalz-Kreis",149068
"90",5382,"Rhein-Sieg-Kreis",582280
"130",6439,"Rheingau-Taunus-Kreis",181190
"89",5378,"Rheinisch-Bergischer Kreis",278440
"299",9673,"Rhön-Grabfeld",79965
"226",9163,"Rosenheim",60464
"243",9187,"Rosenheim",249810
"344",13003,"Rostock",203431
"41",3357,"Rotenburg (Wümme)",161308
"292",9576,"Roth",123431
"256",9277,"Rottal-Inn",117654
"209",8325,"Rottweil",135319
"398",16074,"Saale-Holzland-Kreis",84001
"399",16075,"Saale-Orla-Kreis",83654
"375",15088,"Saalekreis",187690
"397",16073,"Saalfeld-Rudolstadt",110307
"323",10044,"Saarlouis",195976
"324",10045,"Saarpfalz-Kreis",143851
"361",14628,"Sächsische Schweiz-Osterzgebirge",245939
"18",3102,"Salzgitter",98197
"376",15089,"Salzlandkreis",198715
"34",3257,"Schaumburg",155599
"13",1059,"Schleswig-Flensburg",195135
"390",16066,"Schmalkalden-Meiningen",125574
"286",9565,"Schwabach",39546
"189",8127,"Schwäbisch Hall",187682
"141",6634,"Schwalm-Eder-Kreis",179429
"267",9376,"Schwandorf",143060
"210",8326,"Schwarzwald-Baar-Kreis",205090
"295",9662,"Schweinfurt",51851
"304",9678,"Schweinfurt",113007
"345",13004,"Schwerin",91583
"14",1060,"Segeberg",263202
"115",5970,"Siegen-Wittgenstein",274904
"223",8437,"Sigmaringen",127101
"116",5974,"Soest",294971
"73",5122,"Solingen",155768
"392",16068,"Sömmerda",70833
"396",16072,"Sonneberg",57252
"167",7318,"Speyer",49740
"341",12071,"Spree-Neiße",118899
"325",10046,"St. Wendel",88556
"43",3359,"Stade",196516
"244",9188,"Starnberg",130811
"15",1061,"Steinburg",130017
"97",5566,"Steinfurt",434481
"377",15090,"Stendal",115471
"16",1062,"Stormarn",234674
"249",9263,"Straubing",45502
"257",9278,"Straubing-Bogen",97323
"180",8111,"Stuttgart",604297
"176",7337,"Südliche Weinstraße",109026
"179",7340,"Südwestpfalz",96599
"382",16054,"Suhl",35665
"342",12072,"Teltow-Fläming",160448
"268",9377,"Tirschenreuth",73457
"245",9189,"Traunstein",170364
"155",7211,"Trier",107233
"159",7235,"Trier-Saarburg",144337
"216",8416,"Tübingen",216535
"211",8327,"Tuttlingen",133198
"343",12073,"Uckermark",121326
"44",3360,"Uelzen",92356
"218",8421,"Ulm",119218
"117",5978,"Unna",391622
"388",16064,"Unstrut-Hainich-Kreis",104245
"317",9778,"Unterallgäu",137484
"60",3460,"Vechta",134188
"45",3361,"Verden",132459
"78",5166,"Viersen",294921
"136",6535,"Vogelsbergkreis",106383
"355",14523,"Vogtlandkreis",233970
"350",13075,"Vorpommern-Greifswald",238185
"348",13073,"Vorpommern-Rügen",223109
"158",7233,"Vulkaneifel",60765
"142",6635,"Waldeck-Frankenberg",156607
"214",8337,"Waldshut",164265
"98",5570,"Warendorf",272623
"387",16063,"Wartburgkreis",126283
"261",9363,"Weiden i.d.OPf.",41726
"246",9190,"Weilheim-Schongau",130387
"383",16055,"Weimar",63315
"395",16071,"Weimarer Land",81704
"293",9577,"Weißenburg-Gunzenhausen",92331
"143",6636,"Werra-Meißner-Kreis",100356
"79",5170,"Wesel",457033
"61",3461,"Wesermarsch",88831
"154",7143,"Westerwaldkreis",198704
"131",6440,"Wetteraukreis",295408
"121",6414,"Wiesbaden",273871
"50",3405,"Wilhelmshaven",75728
"378",15091,"Wittenberg",129438
"62",3462,"Wittmund",56400
"27",3158,"Wolfenbüttel",119900
"19",3103,"Wolfsburg",122457
"168",7319,"Worms",80296
"281",9479,"Wunsiedel i.Fichtelgebirge",73783
"74",5124,"Wuppertal",343488
"296",9663,"Würzburg",124698
"305",9679,"Würzburg",158580
"217",8417,"Zollernalbkreis",184615
"169",7320,"Zweibrücken",34084
"356",14524,"Zwickau",327062
